Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,x73
All Timesteps RMSE,0,0,0,0,0,0,0.0191988,0,0,0,0.0416178,0,0.0269576,0.0402091,0,0,0.0195066,0,0,0.0404505,0.0266768,0.0365145,0.0243122,0.0269479,0.0382403,0.0176449,0.0316502,0.0395916,0.0368662,0.0241134,0.0366003,0.0348144,0.0261282,0.0308879,0.0279768,0.0457376,0.00985297,0.0118331,0.0492944,0,0.0227875,0.0283507,0.0393547,0,0,0.0234275,0,0,0.0229824,0.0672079,0.039432,0.019984,0.0302291,0.040374,0.0320198,0.0602311,0.0897451,0.0882587,0.140137,0.0699132,0.0493128,0.0384628,0.0620777,0.0343876,0.0480077,0.00528322,0.0124449,0.0604643,0,0,0,0
0,0,0,0,0,0,0,0.0208963,0,0,0,0.0345354,0,0.0266426,0.0413908,0,0,0.0201036,0,0,0.0402525,0.0358022,0.0423336,0.0211459,0.0243664,0.0413968,0.0101253,0.0421745,0.0494236,0.0358707,0.0218415,0.0398438,0.0384859,0.0302321,0.0338236,0.0383015,0.0510259,0.00954094,0.011048,0.0647371,0,0.0257396,0.0338184,0.0406981,0,0,0.0218739,0,0,0.0249739,0.0621985,0.0257319,0.0209492,0.0324504,0.0389907,0.0291463,0.0511204,0.0915371,0.0828877,0.133175,0.0691283,0.0484387,0.0407776,0.0599106,0.0313416,0.0514771,0.00437441,0.0121071,0.0580316,0,0,0,0
1,0,0,0,0,0,0,0.021065,0,0,0,0.037976,0,0.0262176,0.041171,0,0,0.0203064,0,0,0.0401696,0.0360628,0.0408645,0.0213821,0.0238433,0.0407673,0.0097077,0.0418537,0.0484964,0.0362148,0.0236302,0.040312,0.0386742,0.0309687,0.034734,0.0306395,0.0513108,0.00953896,0.0109706,0.0592153,0,0.0261345,0.0337697,0.0406467,0,0,0.0217489,0,0,0.0249656,0.0629257,0.025408,0.0210422,0.0319118,0.0387975,0.0290215,0.0517289,0.0902664,0.0830463,0.1353,0.0679094,0.048596,0.0410502,0.0598123,0.0245673,0.0517198,0.00445957,0.0120564,0.0577507,0,0,0,0
2,0,0,0,0,0,0,0.0211816,0,0,0,0.0415365,0,0.0256037,0.0408742,0,0,0.0204062,0,0,0.0401522,0.0356387,0.0393058,0.0221052,0.0236807,0.0406912,0.00933255,0.0413053,0.0473071,0.0367339,0.0247691,0.0409777,0.0387954,0.0313703,0.0351312,0.024695,0.051545,0.00954146,0.0109989,0.0597674,0,0.0262891,0.0328062,0.0406215,0,0,0.0215957,0,0,0.0249731,0.0636383,0.0255918,0.0213796,0.031991,0.0388031,0.0288121,0.0515981,0.0900941,0.0829879,0.135097,0.0681655,0.048993,0.0414229,0.0599482,0.024853,0.0517131,0.00444975,0.0120688,0.0575723,0,0,0,0
3,0,0,0,0,0,0,0.0213211,0,0,0,0.0439559,0,0.0251641,0.0406073,0,0,0.0203774,0,0,0.0402383,0.0348726,0.037885,0.0229742,0.0240163,0.040851,0.00906222,0.0405966,0.046128,0.0372758,0.0253313,0.0415074,0.0389219,0.0313998,0.0350197,0.0208468,0.0516995,0.0094672,0.0112395,0.0606092,0,0.0264047,0.0318576,0.0406793,0,0,0.021475,0,0,0.025007,0.0644056,0.0261595,0.0217146,0.0319892,0.0387928,0.02851,0.0515832,0.0899898,0.0828471,0.134918,0.0684061,0.0493754,0.0418641,0.0600531,0.0255836,0.0516388,0.00446668,0.0120901,0.0574239,0,0,0,0
4,0,0,0,0,0,0,0.0214505,0,0,0,0.0448099,0,0.025084,0.0404878,0,0,0.020292,0,0,0.0403867,0.0340456,0.0369157,0.0238274,0.0248008,0.0411043,0.0089494,0.0398014,0.0450739,0.0376634,0.0254487,0.0416109,0.0390371,0.0311831,0.0347417,0.0190448,0.0517409,0.00936002,0.0116139,0.0612349,0,0.0262013,0.0310574,0.0407183,0,0,0.0214184,0,0,0.0249982,0.0650838,0.0269818,0.0220177,0.0319513,0.038692,0.0282663,0.051658,0.0899027,0.0826613,0.134818,0.0686179,0.0495441,0.0420338,0.0601355,0.0259599,0.0515859,0.00454274,0.0120294,0.0573404,0,0,0,0
5,0,0,0,0,0,0,0.0215853,0,0,0,0.0444638,0,0.02543,0.0404634,0,0,0.0203791,0,0,0.040356,0.033305,0.0367615,0.0245762,0.0259349,0.0413376,0.00903452,0.0390169,0.0441836,0.0378261,0.0253934,0.0417448,0.0389915,0.0310084,0.0347045,0.018717,0.051765,0.00940047,0.0113049,0.0615695,0,0.0257906,0.0305777,0.040684,0,0,0.0214243,0,0,0.0249653,0.0656227,0.0277068,0.0222529,0.0317616,0.038493,0.0280192,0.0516498,0.0898242,0.0825219,0.13477,0.0686934,0.0495588,0.0419513,0.0601026,0.0262188,0.0516282,0.00458592,0.0120226,0.0572677,0,0,0,0
6,0,0,0,0,0,0,0.0218935,0,0,0,0.0436194,0,0.0244626,0.0394426,0,0,0.0203832,0,0,0.0402478,0.0333502,0.0378735,0.0251293,0.0259572,0.0406635,0.0100039,0.038263,0.0439123,0.0385234,0.0257145,0.0419409,0.0391313,0.0313762,0.0354182,0.0204599,0.0519504,0.00942085,0.0111951,0.0539385,0,0.0203684,0.0301877,0.0398825,0,0,0.0219467,0,0,0.0246789,0.0663739,0.0293316,0.0221666,0.0345742,0.036933,0.0278945,0.050167,0.0913655,0.0811239,0.132741,0.0711208,0.052759,0.0445723,0.0615753,0.016582,0.0515845,0.00474705,0.0118057,0.0569245,0,0,0,0
7,0,0,0,0,0,0,0.022,0,0,0,0.0437227,0,0.0246433,0.039186,0,0,0.0203239,0,0,0.0403493,0.0327437,0.0378443,0.0251901,0.0263186,0.0408867,0.00991588,0.0375264,0.0435395,0.0382534,0.0257188,0.0418859,0.039012,0.0313523,0.0355467,0.0210378,0.0514455,0.00945244,0.01117,0.0537203,0,0.019877,0.0300888,0.0397715,0,0,0.0217302,0,0,0.0249553,0.066782,0.0299258,0.0223122,0.0343071,0.0368352,0.0278482,0.0500677,0.0914622,0.0811532,0.132634,0.070987,0.0526221,0.0443098,0.061365,0.0166491,0.0516581,0.00457983,0.0119214,0.0569782,0,0,0,0
8,0,0,0,0,0,0,0.0220862,0,0,0,0.051076,0,0.0239128,0.0389504,0,0,0.0203999,0,0,0.0406279,0.0344748,0.0341046,0.0239193,0.0240562,0.0413933,0.00934562,0.0365147,0.0445924,0.0389668,0.027703,0.0421848,0.0399981,0.0319902,0.0376202,0.0129594,0.0510136,0.0095419,0.0111156,0.0548389,0,0.0250742,0.0317624,0.0400443,0,0,0.021226,0,0,0.0251418,0.0657079,0.0283029,0.0216479,0.0294367,0.0370924,0.0274058,0.0524717,0.0882832,0.0834294,0.137964,0.066251,0.0487787,0.0409453,0.0591585,0.0184029,0.0519758,0.00455794,0.0121997,0.056893,0,0,0,0
9,0,0,0,0,0,0,0.0220297,0,0,0,0.0433001,0,0.0255554,0.0391123,0,0,0.0201182,0,0,0.0407819,0.0316956,0.0345503,0.0250366,0.027403,0.0421281,0.00961481,0.0385271,0.0437902,0.0359338,0.0238466,0.0412483,0.0379464,0.0308107,0.034775,0.0206008,0.0507124,0.00953317,0.0114345,0.0583421,0,0.0236419,0.0310122,0.0398264,0,0,0.0212334,0,0,0.025167,0.0660939,0.0302546,0.0227627,0.0292793,0.0374645,0.0273143,0.0514896,0.0897192,0.0829869,0.135621,0.0674039,0.0484598,0.0403059,0.0588953,0.0225754,0.0518642,0.00460635,0.0121616,0.0568856,0,0,0,0
10,0,0,0,0,0,0,0.02204,0,0,0,0.040561,0,0.0255042,0.0386688,0,0,0.0198235,0,0,0.0409702,0.0308047,0.0327394,0.0256561,0.0273128,0.0425514,0.0100633,0.0393433,0.0444654,0.0351408,0.0221583,0.0404123,0.0372237,0.0309916,0.0347147,0.0219991,0.0503254,0.00951429,0.0117707,0.0584949,0,0.0232209,0.0308813,0.0394967,0,0,0.0212497,0,0,0.0251426,0.0662504,0.0313518,0.0231918,0.0284545,0.0374775,0.0269803,0.0512714,0.0898447,0.083227,0.135533,0.0671723,0.0478765,0.0395874,0.0583427,0.0230849,0.0519603,0.00468879,0.0120985,0.0568393,0,0,0,0
11,0,0,0,0,0,0,0.0220681,0,0,0,0.0379224,0,0.0243438,0.0384358,0,0,0.0198206,0,0,0.041023,0.0300263,0.0298069,0.0265086,0.0268706,0.0431127,0.0105044,0.0398662,0.0451965,0.0346456,0.0210084,0.0396765,0.0370037,0.0306715,0.0343897,0.0236489,0.0500733,0.00970771,0.0113722,0.0589917,0,0.0236868,0.0301769,0.0392257,0,0,0.0212742,0,0,0.0251494,0.0665054,0.0333262,0.0240082,0.0282271,0.0374239,0.0265135,0.0507816,0.0904963,0.0832636,0.134665,0.0673784,0.0473174,0.0389069,0.0580701,0.0239366,0.0521319,0.00475243,0.0121255,0.0568521,0,0,0,0
12,0,0,0,0,0,0,0.0211253,0,0,0,0.0504164,0,0.0200138,0.037264,0,0,0.0197198,0,0,0.0412251,0.0345618,0.0263463,0.0251626,0.0260159,0.0427428,0.0118767,0.0361924,0.0510138,0.0403174,0.0255888,0.0410921,0.0409176,0.0313374,0.0395172,0.00941147,0.0489446,0.00990206,0.011135,0.0652981,0,0.0257893,0.0265663,0.0392917,0,0,0.0218501,0,0,0.0251326,0.0666504,0.0404446,0.025591,0.0328504,0.036953,0.0274573,0.0482098,0.0923564,0.0822878,0.130478,0.0694199,0.0462209,0.0375016,0.0582693,0.0306021,0.0511791,0.00476149,0.0123792,0.0580597,0,0,0,0
13,0,0,0,0,0,0,0.022256,0,0,0,0.032554,0,0.023957,0.0382102,0,0,0.0200265,0,0,0.0410949,0.0300454,0.0261854,0.0273755,0.0262845,0.0439757,0.011112,0.0384371,0.0447615,0.0348829,0.0221195,0.039489,0.0381313,0.0283627,0.0320732,0.0266209,0.050088,0.0098707,0.0111281,0.0570824,0,0.0247568,0.0283692,0.0389117,0,0,0.0208195,0,0,0.025356,0.0674549,0.0352138,0.0251313,0.0274953,0.0366179,0.0249471,0.0512046,0.0907751,0.0837951,0.135442,0.0666868,0.0467167,0.038303,0.0575773,0.0203044,0.0529005,0.00463257,0.0123956,0.0568867,0,0,0,0
14,0,0,0,0,0,0,0.0221366,0,0,0,0.0316496,0,0.0252461,0.0380456,0,0,0.019905,0,0,0.0410287,0.0307267,0.026051,0.0271868,0.0264864,0.0439999,0.0113675,0.0371803,0.0438949,0.0354256,0.0239486,0.0395917,0.0384821,0.0277856,0.0315484,0.0274905,0.0500541,0.00981135,0.0112301,0.0553839,0,0.0252024,0.0273033,0.038873,0,0,0.0206349,0,0,0.0253636,0.0681873,0.0365062,0.0257346,0.0274011,0.0361715,0.024456,0.0512998,0.0910333,0.0840828,0.135699,0.0665305,0.046468,0.037582,0.0573409,0.0186868,0.0532766,0.00459983,0.0124053,0.0572649,0,0,0,0
15,0,0,0,0,0,0,0.0213721,0,0,0,0.0366844,0,0.023793,0.0370232,0,0,0.0194322,0,0,0.0409724,0.0333892,0.0250111,0.0257578,0.0251649,0.0438892,0.0123461,0.0349691,0.0452778,0.0380205,0.027733,0.0392365,0.039198,0.0281754,0.0343186,0.0206261,0.0491406,0.00983613,0.0112473,0.0582163,0,0.0272928,0.0249921,0.0388283,0,0,0.0208527,0,0,0.0253048,0.0682147,0.0422596,0.0274303,0.0307719,0.0355363,0.0248906,0.0498755,0.0919418,0.0835622,0.133739,0.0672593,0.0449459,0.0352577,0.0568255,0.0220429,0.0530173,0.00453193,0.0125424,0.0584826,0,0,0,0
16,0,0,0,0,0,0,0.021119,0,0,0,0.0315281,0,0.0266734,0.0379319,0,0,0.0193239,0,0,0.0408826,0.030825,0.0279618,0.02676,0.0267986,0.0445769,0.0127115,0.0371469,0.0429602,0.0345705,0.0252976,0.0389132,0.0379639,0.0276375,0.0325898,0.0290308,0.049071,0.00983484,0.0111877,0.0564027,0,0.0279477,0.0233285,0.0387095,0,0,0.0207808,0,0,0.0253244,0.0697673,0.0456377,0.0294126,0.032876,0.0356237,0.0246721,0.0499137,0.0930859,0.0835232,0.133178,0.0674304,0.0446442,0.0339412,0.0565243,0.0196761,0.053302,0.00447,0.0125369,0.0589503,0,0,0,0
17,0,0,0,0,0,0,0.0211178,0,0,0,0.0292199,0,0.0280369,0.0387387,0,0,0.0194381,0,0,0.0408259,0.0293804,0.0303978,0.0264954,0.0287251,0.0437753,0.0126405,0.0384807,0.0415588,0.0324486,0.0243317,0.0386909,0.0373882,0.0278037,0.0324167,0.0336026,0.0494254,0.0098494,0.011094,0.0518152,0,0.0267017,0.0247319,0.0386447,0,0,0.0206751,0,0,0.0253421,0.0697818,0.0427593,0.0286135,0.0283351,0.035488,0.0245417,0.0526347,0.0918517,0.0851998,0.137041,0.0661489,0.0458948,0.0346588,0.0565898,0.0174584,0.053623,0.00446728,0.0125077,0.0588649,0,0,0,0
18,0,0,0,0,0,0,0.020438,0,0,0,0.0321152,0,0.0276307,0.0382313,0,0,0.0194613,0,0,0.0409456,0.0306991,0.0315203,0.0248946,0.0271105,0.0429919,0.0131423,0.037837,0.0421766,0.0327276,0.0254324,0.0372652,0.036985,0.0272815,0.0329636,0.0290688,0.0488176,0.00988319,0.0110631,0.0500098,0,0.0274293,0.0245031,0.0387527,0,0,0.0211307,0,0,0.0252626,0.0694203,0.0440366,0.0282838,0.028217,0.0356151,0.0256038,0.0534969,0.0919324,0.0859167,0.137965,0.0662084,0.0466777,0.0341624,0.0567582,0.0202533,0.0528801,0.00451214,0.0125128,0.0596269,0,0,0,0
19,0,0,0,0,0,0,0.0198281,0,0,0,0.0319793,0,0.0281774,0.037427,0,0,0.0194494,0,0,0.0411791,0.0313099,0.0328566,0.0245187,0.027283,0.0426024,0.0139178,0.0375607,0.0416916,0.0326414,0.0255272,0.0365912,0.0363721,0.0264796,0.0319817,0.030364,0.0477309,0.0100304,0.0110062,0.0487854,0,0.0285043,0.0243319,0.0387818,0,0,0.0218006,0,0,0.0252411,0.069172,0.0454796,0.0282526,0.0284794,0.0358703,0.0267189,0.0544462,0.0923901,0.0867613,0.138607,0.0661486,0.0469843,0.0329636,0.0567178,0.0248095,0.0519236,0.00461619,0.0124783,0.060265,0,0,0,0
20,0,0,0,0,0,0,0.0192927,0,0,0,0.0318356,0,0.0284727,0.0360241,0,0,0.0193757,0,0,0.0414424,0.031779,0.0332941,0.0246068,0.0272159,0.0422999,0.0150226,0.0367476,0.0409584,0.0330642,0.0253458,0.0360425,0.035786,0.0254454,0.0307525,0.0309049,0.0465318,0.0102195,0.0109843,0.0469207,0,0.0291841,0.024203,0.0388667,0,0,0.0227092,0,0,0.0252437,0.0689459,0.0456084,0.0278762,0.0290469,0.0362613,0.027903,0.0555233,0.0929546,0.0876664,0.139264,0.0662329,0.0469355,0.0317999,0.0571333,0.0292643,0.0507382,0.00480069,0.0123873,0.0607652,0,0,0,0
21,0,0,0,0,0,0,0.0188675,0,0,0,0.0315687,0,0.0283731,0.034653,0,0,0.0193358,0,0,0.0416684,0.0314293,0.0329167,0.0251794,0.0268513,0.0420577,0.0163999,0.0357039,0.0405279,0.0338484,0.0246712,0.0357274,0.0354396,0.0249439,0.0298305,0.0307123,0.0453341,0.0104213,0.0109852,0.0448446,0,0.0290079,0.0241167,0.0389821,0,0,0.0236603,0,0,0.0252464,0.0688054,0.0445955,0.0272132,0.0297683,0.0366964,0.0290496,0.0567243,0.0937723,0.0886002,0.139775,0.0662846,0.0469584,0.0309949,0.0579919,0.0331574,0.0495562,0.00499756,0.0122747,0.0612176,0,0,0,0
22,0,0,0,0,0,0,0.0185547,0,0,0,0.0311577,0,0.0279978,0.0335713,0,0,0.0194038,0,0,0.0417765,0.0300961,0.0318819,0.0259862,0.0263654,0.041796,0.0178845,0.0346615,0.0404138,0.0346861,0.0238228,0.0358053,0.0353725,0.0249814,0.0294255,0.0302889,0.0441785,0.0105832,0.0110029,0.042974,0,0.0276028,0.024114,0.0390657,0,0,0.0243494,0,0,0.0253098,0.0687021,0.0431378,0.0263889,0.0305528,0.0370713,0.0299835,0.0578887,0.0949784,0.0895578,0.139982,0.0662645,0.0470867,0.0303276,0.0589179,0.0369523,0.0486601,0.00515466,0.0121808,0.0617453,0,0,0,0
23,0,0,0,0,0,0,0.018405,0,0,0,0.0308857,0,0.0276336,0.0323048,0,0,0.0195492,0,0,0.0417509,0.0281319,0.030968,0.0268303,0.0261235,0.0414236,0.019334,0.0338029,0.0402783,0.0352568,0.0233492,0.0360904,0.0354337,0.0251724,0.0294562,0.0299063,0.043077,0.0106204,0.0110312,0.040451,0,0.0252992,0.0239173,0.0390294,0,0,0.0247613,0,0,0.0254228,0.0686926,0.0414424,0.0255532,0.0311686,0.0374152,0.030627,0.0590239,0.0964062,0.0906114,0.139877,0.0661833,0.0470272,0.0296225,0.0594038,0.0405198,0.0480318,0.00519524,0.0122953,0.0623816,0,0,0,0
24,0,0,0,0,0,0,0.0184236,0,0,0,0.0308305,0,0.0275019,0.0312712,0,0,0.0196619,0,0,0.0416432,0.0262324,0.0303144,0.0274283,0.0262862,0.041176,0.0206416,0.0331674,0.039859,0.035337,0.0234864,0.0362642,0.0355354,0.0252765,0.0294472,0.0295522,0.0422002,0.0105166,0.0112709,0.0372653,0,0.0226015,0.0236063,0.0389098,0,0,0.0248958,0,0,0.0254735,0.0688356,0.0397614,0.0249189,0.0318493,0.0379974,0.0308641,0.0600718,0.0976228,0.0915585,0.139781,0.0659898,0.0465547,0.0290408,0.0595236,0.0450103,0.0477296,0.00510561,0.0124526,0.0630591,0,0,0,0
25,0,0,0,0,0,0,0.0185002,0,0,0,0.0308143,0,0.0276151,0.0314072,0,0,0.0197867,0,0,0.0416017,0.0249602,0.0300843,0.0275574,0.0267788,0.0410328,0.0218194,0.0326899,0.0392863,0.0350372,0.0240332,0.0362879,0.0356683,0.0251516,0.029342,0.0292783,0.0417559,0.0102745,0.011811,0.0355952,0,0.0202948,0.0232419,0.0387919,0,0,0.0248248,0,0,0.0254329,0.0691028,0.0396865,0.0244975,0.0323282,0.0388508,0.0308132,0.0609501,0.0981821,0.0921649,0.139986,0.0655508,0.0460213,0.0288875,0.0594758,0.0509577,0.0477954,0.00493551,0.0125441,0.0638285,0,0,0,0
26,0,0,0,0,0,0,0.018542,0,0,0,0.0308094,0,0.0279763,0.0321517,0,0,0.0200809,0,0,0.0416201,0.0242147,0.0302877,0.0273747,0.0273722,0.0407974,0.0228728,0.0323908,0.0388694,0.0346035,0.0245747,0.0362646,0.035818,0.0249301,0.0293826,0.0291553,0.0416109,0.0102477,0.0117997,0.0359052,0,0.0192262,0.0229037,0.0387079,0,0,0.0247151,0,0,0.0253291,0.0695076,0.0420627,0.0241729,0.0324835,0.0397172,0.0306126,0.0617042,0.0983309,0.0922592,0.14064,0.0650199,0.0456951,0.0290356,0.0594201,0.056923,0.048004,0.00483861,0.012589,0.0646753,0,0,0,0
27,0,0,0,0,0,0,0.0185093,0,0,0,0.03095,0,0.0283761,0.0330775,0,0,0.0203446,0,0,0.0417128,0.0238466,0.030728,0.0270881,0.0277886,0.0403533,0.0237441,0.0322328,0.0384595,0.0341638,0.0249818,0.0362299,0.0359918,0.0247654,0.0295788,0.0287725,0.0417403,0.0104288,0.0113794,0.0361329,0,0.0198579,0.0227353,0.0386517,0,0,0.0246887,0,0,0.0253215,0.069951,0.0448253,0.0238465,0.0328148,0.040176,0.030358,0.062269,0.0985775,0.092516,0.141052,0.0644653,0.0452938,0.0289029,0.0592417,0.0601228,0.0483164,0.00492125,0.0128402,0.0654823,0,0,0,0
28,0,0,0,0,0,0,0.0184009,0,0,0,0.0314754,0,0.0286768,0.0338467,0,0,0.0203792,0,0,0.041973,0.0235923,0.0311118,0.0269031,0.0280084,0.0398141,0.0240336,0.0321337,0.0381447,0.0337581,0.0252298,0.0361721,0.0360878,0.0247058,0.0297984,0.0278906,0.0420987,0.0104944,0.0115188,0.0363876,0,0.0207768,0.0226773,0.0386702,0,0,0.0246581,0,0,0.0254144,0.0703682,0.0470247,0.0235818,0.0334309,0.0401914,0.0301825,0.0626324,0.0990333,0.0933298,0.141095,0.0641776,0.0449803,0.0288294,0.0592945,0.0613084,0.0485571,0.00506276,0.013313,0.066152,0,0,0,0
29,0,0,0,0,0,0,0.0182503,0,0,0,0.0324537,0,0.0288562,0.0346325,0,0,0.0203803,0,0,0.0421935,0.0233698,0.0315266,0.0268965,0.0281886,0.0392937,0.0237605,0.0320707,0.0379182,0.0334153,0.0253654,0.0361301,0.0359548,0.0247632,0.0301005,0.0262461,0.0423311,0.0103125,0.0118221,0.036356,0,0.0211561,0.0227311,0.0387177,0,0,0.0244514,0,0,0.0254006,0.0706412,0.048864,0.0233359,0.0342948,0.0400508,0.0301346,0.0628908,0.0996406,0.0937275,0.140943,0.0643492,0.0450104,0.0293177,0.0598298,0.0621149,0.0486016,0.00517085,0.013073,0.0665886,0,0,0,0
30,0,0,0,0,0,0,0.0180991,0,0,0,0.0338151,0,0.0288517,0.0355199,0,0,0.0203224,0,0,0.0422672,0.0231497,0.031874,0.026954,0.0283212,0.0389082,0.0233506,0.031915,0.037671,0.033221,0.0254162,0.0361437,0.0356634,0.0248579,0.0303621,0.0239614,0.0423456,0.0101026,0.0120135,0.036336,0,0.0212927,0.0223025,0.0387124,0,0,0.0243688,0,0,0.0253823,0.0707008,0.0497481,0.0229699,0.0351701,0.0399809,0.0302653,0.06301,0.100304,0.0937879,0.140599,0.0649539,0.0455571,0.0302879,0.0608508,0.0617106,0.0485058,0.00532458,0.0131032,0.0667493,0,0,0,0
31,0,0,0,0,0,0,0.0179881,0,0,0,0.0354761,0,0.0287815,0.0360987,0,0,0.0202324,0,0,0.0420859,0.0228754,0.0322692,0.0269166,0.0284639,0.038649,0.0230387,0.0316674,0.0373089,0.0331482,0.0254005,0.036122,0.0352625,0.0250318,0.0305776,0.0215661,0.0422596,0.0100977,0.0118495,0.0364434,0,0.0216888,0.0216952,0.0386799,0,0,0.024298,0,0,0.0252885,0.0706433,0.0498702,0.0224684,0.0359322,0.0399833,0.0306547,0.0629908,0.100985,0.0937509,0.140136,0.0655523,0.0463013,0.0312768,0.0619108,0.0593563,0.0483832,0.00546766,0.0128339,0.06669,0,0,0,0
32,0,0,0,0,0,0,0.0179253,0,0,0,0.0372521,0,0.0286825,0.0366169,0,0,0.0201536,0,0,0.0418689,0.0225626,0.032649,0.0268698,0.0285795,0.0385176,0.0228196,0.0312995,0.0368622,0.0331675,0.0253328,0.0360559,0.0348718,0.0252073,0.0307099,0.0191056,0.0421566,0.0100863,0.0117455,0.0366326,0,0.0219972,0.0210706,0.0386454,0,0,0.0243154,0,0,0.0251493,0.0704756,0.0497407,0.0218384,0.0364844,0.0400566,0.0311929,0.0629253,0.10156,0.0938204,0.139931,0.0659378,0.0468483,0.0320016,0.0625914,0.0558904,0.0481224,0.0055062,0.0124936,0.0664904,0,0,0,0
33,0,0,0,0,0,0,0.0178557,0,0,0,0.0389064,0,0.02862,0.0375028,0,0,0.0201398,0,0,0.0417898,0.0222074,0.0330157,0.0268567,0.0286482,0.0383771,0.0225739,0.0307989,0.0363297,0.0333315,0.0253789,0.0360122,0.0346118,0.0253278,0.0308607,0.0168619,0.0420974,0.0101481,0.0117109,0.0366667,0,0.0219017,0.0208047,0.0386527,0,0,0.0246455,0,0,0.0251394,0.0701852,0.0494261,0.0211433,0.0369391,0.0401832,0.0316968,0.0629389,0.101844,0.0938925,0.140036,0.0663319,0.0467258,0.0322986,0.0627485,0.0525026,0.0477356,0.00555869,0.0129027,0.0662311,0,0,0,0
34,0,0,0,0,0,0,0.0177639,0,0,0,0.040485,0,0.028556,0.0383772,0,0,0.020134,0,0,0.0418287,0.0218219,0.0331639,0.0267766,0.0286676,0.0381781,0.0223415,0.0302287,0.0358399,0.0336524,0.025417,0.0360232,0.0344091,0.0253243,0.0308882,0.015203,0.0420166,0.0102639,0.0117463,0.0368689,0,0.0217677,0.0206171,0.0386601,0,0,0.0249389,0,0,0.0251581,0.0697674,0.0489864,0.0203446,0.0372178,0.0403813,0.0322296,0.063061,0.101849,0.0938932,0.140251,0.0665243,0.0463608,0.0323435,0.0624671,0.0489174,0.0474575,0.00558683,0.0128715,0.0659725,0,0,0,0
35,0,0,0,0,0,0,0.01767,0,0,0,0.0420594,0,0.0284064,0.0385005,0,0,0.0200156,0,0,0.0418401,0.0214218,0.0332561,0.0267014,0.0286321,0.0379262,0.0221014,0.0296107,0.0355493,0.0340542,0.0253493,0.0359451,0.0341555,0.0252292,0.0309692,0.0141605,0.0417982,0.0102215,0.011922,0.0372167,0,0.021902,0.0205494,0.038693,0,0,0.0251466,0,0,0.025108,0.0693657,0.048517,0.0195947,0.0371713,0.0406604,0.0327329,0.0631176,0.101647,0.0939161,0.140453,0.0664706,0.0461109,0.0322594,0.0621153,0.0459889,0.0471959,0.00547367,0.0123942,0.0656819,0,0,0,0
36,0,0,0,0,0,0,0.0175976,0,0,0,0.0430413,0,0.0283358,0.038603,0,0,0.0199429,0,0,0.0417513,0.0210306,0.0334313,0.0267511,0.0285362,0.0376188,0.0218284,0.0289984,0.0352721,0.034444,0.0252414,0.0358432,0.0339268,0.0251539,0.0309805,0.0130504,0.041638,0.0102596,0.0118304,0.0376034,0,0.0221691,0.0208721,0.0387854,0,0,0.0254035,0,0,0.0251559,0.0689609,0.048294,0.0190658,0.0369136,0.0409832,0.0331597,0.0631442,0.101252,0.0939606,0.140721,0.0663946,0.0461513,0.0321494,0.0619168,0.0438101,0.0469748,0.00541404,0.0124913,0.0653875,0,0,0,0
37,0,0,0,0,0,0,0.0175464,0,0,0,0.0437709,0,0.0283772,0.0389567,0,0,0.0199424,0,0,0.0415562,0.0206488,0.0336341,0.026881,0.028466,0.0372412,0.0216689,0.0284551,0.0349776,0.0347848,0.0250404,0.0357773,0.0336997,0.0250792,0.0310899,0.0123427,0.0415296,0.0104096,0.0113708,0.0382702,0,0.0225139,0.021615,0.0388757,0,0,0.0257121,0,0,0.0252129,0.0685894,0.0483787,0.018742,0.0364579,0.041361,0.0334873,0.0633038,0.100725,0.0938173,0.141003,0.0665584,0.0462506,0.0324557,0.0620374,0.0424115,0.0468055,0.00544158,0.0128267,0.0650888,0,0,0,0
38,0,0,0,0,0,0,0.017517,0,0,0,0.044669,0,0.0283539,0.0393424,0,0,0.0198998,0,0,0.0414352,0.0202713,0.0335184,0.0270497,0.0283992,0.0368194,0.0215746,0.0279543,0.0346813,0.035164,0.0248053,0.035751,0.0335065,0.0250354,0.0311384,0.012087,0.0415865,0.0105009,0.0112002,0.0388907,0,0.0228537,0.0225376,0.0389639,0,0,0.0257045,0,0,0.0251524,0.0683011,0.0487633,0.018526,0.0358804,0.0417764,0.0337038,0.063453,0.100156,0.0936177,0.141215,0.0670582,0.0465696,0.0327993,0.0623657,0.041794,0.046776,0.0053611,0.0124504,0.0647489,0,0,0,0
