Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,LTIBA,RKNE,IMUL_M,RASI,IMUL_R,LTHII,L5FT,IMUR_M
All Timesteps RMSE,0.0384324,0.0465487,0,0,0,0,0.0264082,0.0519505,0,0,0.0119026,0,0,0.0331314,0.0319454,0.0383894,0.0213043,0.0491672,0.0270843,0.0294975,0.0202098,0.028137,0.0239857,0.0437242,0.037571,0.0345878,0.0285034,0.0480899,0.00830595,0.0170801,0.0548721,0,0.0179611,0.0209919,0,0,0.012626,0,0,0.0330991,0.0492947,0.0486416,0.0352773,0.0339191,0.0183946,0.0364797,0.0244142,0.0555523,0.0618785,0.0605332,0.0620282,0.0640545,0.0311729,0.0371762,0.0185961,0.0197619,0.042838,0.0231163,0,0,0,0,0,0,0,0,0,0.0470063,0.0293684,0,0.0602017,0,0.0336585,0.0376795,0
0,0.0409263,0.0452755,0,0,0,0,0.0292721,0.0418366,0,0,0.0118381,0,0,0.0324922,0.0413108,0.040973,0.0171339,0.0442754,0.0230124,0.0286517,0.0264297,0.0229913,0.0273453,0.038636,0.0305417,0.0284742,0.0165277,0.0486165,0.00784586,0.0172951,0.0605607,0,0.0189695,0.0214785,0,0,0.0122421,0,0,0.032915,0.0404565,0.0448437,0.0490438,0.0364878,0.0204726,0.0297867,0.0313982,0.0533308,0.0616946,0.0590861,0.060902,0.0628421,0.0165723,0.0363288,0.0198788,0.0195611,0.0425538,0.0205949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0402989,0.0457786,0,0,0,0,0.0308633,0.0442962,0,0,0.0118392,0,0,0.0326464,0.0396495,0.0427175,0.0172584,0.0468932,0.0230982,0.0291437,0.0238274,0.0228608,0.026706,0.0359944,0.0287602,0.0271204,0.0180738,0.0481683,0.00760335,0.0179014,0.0605774,0,0.0168957,0.0208444,0,0,0.012275,0,0,0.0330273,0.0408355,0.0422628,0.0464984,0.0349912,0.020387,0.0303242,0.0300488,0.0527149,0.0615192,0.0598954,0.0621448,0.0631613,0.015917,0.0363134,0.0194538,0.0193837,0.0431899,0.019976,0,0,0,0,0,0,0,0,0,0.0406206,0.0275567,0,0,0,0,0,0
2,0.040175,0.0460047,0,0,0,0,0.0305712,0.0447963,0,0,0.0117609,0,0,0.0326065,0.0400973,0.0427498,0.0174373,0.0474872,0.022658,0.0290526,0.0233987,0.022867,0.0265336,0.0353752,0.0285114,0.0263016,0.0188544,0.0483351,0.00778961,0.0178395,0.0586983,0,0.0154606,0.0208973,0,0,0.0121841,0,0,0.0330125,0.0396275,0.0396736,0.0467414,0.0351138,0.0211072,0.0310069,0.0304981,0.0528627,0.0612206,0.0594462,0.0623041,0.0635012,0.014374,0.0361107,0.0193943,0.0197154,0.0435094,0.0197442,0,0,0,0,0,0,0,0,0,0.0402332,0.0281275,0,0,0,0,0,0
3,0.04069,0.0461067,0,0,0,0,0.0313223,0.0474704,0,0,0.0112814,0,0,0.0316422,0.0432863,0.043662,0.0187491,0.0498807,0.0203378,0.0272865,0.0244,0.0236153,0.0283845,0.0332587,0.0265527,0.0245458,0.0206285,0.0495811,0.00788355,0.0162404,0.0569512,0,0.0187097,0.0220674,0,0,0.0117632,0,0,0.0329786,0.0331524,0.0414382,0.052587,0.0368553,0.0229481,0.0356892,0.0331307,0,0.0577485,0.053964,0.0571941,0.0594722,0.013958,0.0355786,0.0197863,0.0204167,0.044018,0.0189262,0,0,0,0,0,0,0,0,0,0.038208,0,0,0,0,0,0,0
4,0.0401551,0.0461243,0,0,0,0,0.0291139,0.0440877,0,0,0.0114202,0,0,0.032145,0.0404987,0.0432051,0.0183225,0.0486755,0.0234107,0.0287622,0.0223127,0.0233922,0.0252637,0.0347613,0.0279306,0.0250351,0.0201357,0.0488227,0.00805126,0.0172571,0.0560997,0,0.0136816,0.0211675,0,0,0.012029,0,0,0.032831,0.0388057,0.0381156,0.0469066,0.0362718,0.0217648,0.0307372,0.0298175,0.0520743,0.0623136,0.0608763,0.0620424,0.0636404,0.0124042,0.0361103,0.019541,0.0197133,0.0437722,0.0202379,0,0,0,0,0,0,0,0,0,0.0396425,0.0274032,0,0,0,0,0,0
5,0.0395723,0.0465539,0,0,0,0,0.0268171,0.050966,0,0,0.0108011,0,0,0.0311908,0.0345644,0.0437953,0.0200462,0.0470115,0.0264183,0.0268649,0.0191372,0.0238092,0.0202416,0.0372623,0.0301729,0.0264174,0.021073,0.0504565,0.00810956,0.015306,0.0607374,0,0.0133427,0.0218007,0,0,0.0120595,0,0,0.0328071,0.0446523,0.0372527,0.0379295,0.039066,0.0219746,0.0306168,0.0260097,0.0503335,0.0646854,0.0642115,0.0628131,0.0640065,0.0159492,0.036779,0.0191851,0.0191103,0.0441173,0.0218282,0,0,0,0,0,0,0,0,0,0.0418764,0.0239528,0,0.0654973,0,0,0,0
6,0.0390959,0.0463493,0,0,0,0,0.026711,0.0509644,0,0,0.0109849,0,0,0.0311075,0.0342489,0.0448793,0.0203659,0.0482574,0.026839,0.0266697,0.0175686,0.0236224,0.0197999,0.0372957,0.0300847,0.025805,0.0231365,0.050627,0.0079482,0.0151323,0.059352,0,0.0141386,0.0218408,0,0,0.0122251,0,0,0.0328976,0.0457335,0.0391505,0.0364731,0.0388646,0.0223112,0.0303999,0.0258254,0.0497342,0.0645076,0.0642264,0.0620049,0.0629261,0.0149859,0.0365049,0.0193153,0.0193259,0.0438448,0.022153,0,0,0,0,0,0,0,0,0,0.0418235,0.0234718,0,0.0646212,0,0,0,0
7,0.0388228,0.0463015,0,0,0,0,0.0264277,0.0508921,0,0,0.0111896,0,0,0.030891,0.0339372,0.0454585,0.020525,0.0492181,0.0268736,0.0265827,0.0157255,0.0234238,0.0197444,0.0373374,0.0301924,0.0252127,0.0251115,0.0506578,0.00803795,0.0146116,0.0579432,0,0.0147463,0.0218618,0,0,0.0123763,0,0,0.0328174,0.0469268,0.0410353,0.0352622,0.0381495,0.022601,0.030364,0.0257447,0.0491456,0.0638963,0.0638983,0.0619467,0.0625352,0.0144202,0.0362774,0.0192682,0.0194435,0.0437848,0.0224018,0,0,0,0,0,0,0,0,0,0.0419678,0.0231708,0,0.0636382,0,0,0,0
8,0.0387615,0.0463547,0,0,0,0,0.0261093,0.0507666,0,0,0.0112724,0,0,0.0307549,0.0338521,0.0458013,0.0205464,0.0502746,0.0266151,0.0265976,0.0145517,0.0232089,0.020202,0.0376834,0.030279,0.0248289,0.0273641,0.0504368,0.00803177,0.0143277,0.0564179,0,0.0150094,0.0218847,0,0,0.0123674,0,0,0.0327606,0.0476226,0.0424849,0.0349412,0.0371201,0.0228257,0.0303613,0.0256698,0.0487205,0.063283,0.0632242,0.0621525,0.0627004,0.0143346,0.0360786,0.019213,0.01966,0.0437885,0.0225839,0,0,0,0,0,0,0,0,0,0.0421884,0.0232962,0,0.0623471,0,0,0,0
9,0.0386665,0.0463811,0,0,0,0,0.0226265,0.0501866,0,0,0.0113323,0,0,0.0310006,0.0343435,0.0431099,0.0197672,0.0494438,0.0263795,0.0264162,0.0167288,0.0227722,0.0194034,0.0408136,0.0332635,0.0262444,0.0302966,0.0502435,0.00809488,0.0145965,0.0547326,0,0.0145978,0.0222167,0,0,0.0121483,0,0,0.0329399,0.048288,0.0431092,0.0352012,0.0371065,0.0235793,0.0298908,0.0254941,0.047958,0.0630325,0.0628717,0.0625031,0.0632053,0.0144585,0.035508,0.0198181,0.0203871,0.0436705,0.0232249,0,0,0,0,0,0,0,0,0,0,0.0236896,0,0.0603796,0,0,0,0
10,0.0390603,0.0465049,0,0,0,0,0.0260452,0.0503978,0,0,0.0112644,0,0,0.0311615,0.0340614,0.0458874,0.0201555,0.0530636,0.0263541,0.0266691,0.0144327,0.0229732,0.0222798,0.037035,0.0302056,0.0239246,0.0350028,0.0503855,0.0081938,0.0149456,0.0532057,0,0.0141132,0.0220476,0,0,0.0121625,0,0,0.0328434,0.0479934,0.0432963,0.0350739,0.0364135,0.023164,0.0301123,0.0256165,0.0481935,0.0625679,0.0622136,0.0623679,0.0630907,0.0144591,0.0357887,0.0196837,0.0200131,0.0440462,0.0228131,0,0,0,0,0,0,0,0,0,0.04217,0.0248989,0,0.0606878,0,0,0,0
11,0.0389656,0.046421,0,0,0,0,0.0252944,0.0500439,0,0,0.0113927,0,0,0.0313264,0.0345665,0.0450326,0.0200998,0.0524775,0.0264178,0.0268537,0.0149259,0.0219602,0.0227154,0.0379603,0.0314633,0.0244429,0.0394737,0.0500156,0.00809566,0.0153578,0.0515509,0,0.0129104,0.0226225,0,0,0.0121276,0,0,0.0331268,0.0486766,0.0430047,0.0351876,0.0381684,0.0242707,0.029392,0.0256913,0.0475981,0.0629551,0.0626043,0.0626345,0.0634421,0.0142836,0.0349347,0.0203513,0.0209317,0.043958,0.023395,0,0,0,0,0,0,0,0,0,0.043217,0.026218,0,0.0584361,0,0.0367187,0,0
12,0.0389559,0.0462804,0,0,0,0,0.0229816,0.0498232,0,0,0.0114519,0,0,0.0315662,0.0345318,0.0403401,0.0195669,0.051749,0.0265661,0.0271218,0.0155997,0.0228657,0.0221864,0,0.0350282,0.0267465,0.0437466,0.0496343,0.00819566,0.0156676,0.0508252,0,0.0119499,0.0231013,0,0,0.0121941,0,0,0.0333212,0.0488751,0.0423653,0.0357757,0.0395055,0.0249831,0.0294507,0.0252734,0.04781,0.063378,0.0631454,0.0626458,0.063617,0.014242,0.0342763,0.0208774,0.0215718,0.0439254,0.0236951,0,0,0,0,0,0,0,0,0,0.0466845,0.0273912,0,0.0575886,0,0.0368734,0,0
13,0.0390373,0.0462137,0,0,0,0,0.0278257,0.0491969,0,0,0.0114885,0,0,0.0317649,0.0345813,0.0420592,0.0201403,0.0549615,0.0270455,0.0274806,0.0143055,0.0251687,0.0237197,0.0393295,0.0342636,0.0271132,0.0467212,0.0493688,0.00820769,0.0159737,0.0497926,0,0.0117883,0.0231027,0,0,0.012317,0,0,0.0333368,0.0478957,0.0418091,0.0366535,0.0401244,0.0249298,0.0297552,0.0249294,0.0483633,0.0634072,0.0630901,0.0624011,0.0634649,0.0143192,0.0341905,0.0207073,0.0217081,0.044132,0.0236215,0,0,0,0,0,0,0,0,0,0.0439065,0.0279751,0,0.0580621,0,0.0391649,0.0183223,0
14,0.038849,0.0461844,0,0,0,0,0.028508,0.0494355,0,0,0.0111368,0,0,0.0326944,0.0349631,0.0437921,0.0224871,0.0575335,0.0272303,0.0277988,0.0141405,0.0259039,0.0250453,0.0387545,0.0323268,0.0242562,0.045401,0.0489983,0.00758859,0.0159883,0.0487367,0,0.011609,0.022279,0,0,0.0133122,0,0,0.0331854,0.0474344,0.0458879,0.0360277,0.0394387,0.024921,0.0295498,0.0257335,0.0483274,0.0623936,0.0623523,0.0620594,0.0626458,0.0136094,0.0337819,0.0207928,0.0220625,0.0441422,0.0233893,0,0,0,0,0,0,0,0,0,0.0433401,0,0,0.0584886,0,0.0409583,0,0
15,0.038592,0.046214,0,0,0,0,0.0285108,0.0495278,0,0,0.0122796,0,0,0.0319444,0.0346178,0.0443426,0.0232065,0.0580888,0.0274625,0.0290671,0.0143203,0.0248364,0.0258246,0.0398141,0.0330034,0.0249873,0.0474609,0.0485792,0.00749643,0.0147853,0.0488076,0,0.0120189,0.022253,0,0,0.0141738,0,0,0.0331443,0.0469729,0.0460691,0.0358665,0.0393988,0.0256142,0.0290686,0.0259511,0.0481172,0.0622699,0.0621721,0.0623105,0.062781,0.0135115,0.03356,0.0205824,0.0218681,0.0439956,0.0233994,0,0,0,0,0,0,0,0,0,0.0436801,0,0,0.058497,0,0.0415707,0,0
16,0.0386908,0.0460024,0,0,0,0,0.0258754,0.0498003,0,0,0.0131567,0,0,0.0309559,0.0332112,0.0456109,0.0217969,0.0565894,0.0280197,0.0285793,0.0147431,0.0223342,0.0270973,0.0400877,0.0335235,0.0256918,0.0556241,0.0485911,0.00803301,0.0147806,0.0504344,0,0.0132289,0.0231154,0,0,0.0133809,0,0,0.033385,0.0471907,0.0428204,0.0362706,0.0404708,0.0259402,0.0284755,0.0254882,0.0478327,0.062824,0.0624415,0.0627726,0.0635197,0.0141384,0.033682,0.0203456,0.0218378,0.0437236,0.0236805,0,0,0,0,0,0,0,0,0,0.0439494,0.0259232,0,0.0575621,0,0.0412866,0,0
17,0.0386799,0.0457307,0,0,0,0,0.0305338,0.0485187,0,0,0.0120812,0,0,0.0321163,0.0338818,0.0440841,0.023067,0.0580137,0.0278428,0.0281155,0.0135032,0.0244692,0.0268379,0.0420425,0.0370683,0.0298943,0.0491942,0.0484545,0.00781322,0.0155107,0.0466475,0,0.0119536,0.0221732,0,0,0.0132392,0,0,0.0331495,0.0465988,0.0442298,0.0353683,0.0388326,0.024673,0.0290371,0.0240835,0.0483928,0.0629349,0.0626046,0.0635368,0.0639136,0.0141049,0.0338055,0.0203778,0.021883,0.0433309,0.023609,0,0,0,0,0,0,0,0,0,0.044498,0.0233731,0,0.0589117,0,0.0426607,0.0160665,0
18,0.0385717,0.045646,0,0,0,0,0.0301064,0.0486007,0,0,0.0120278,0,0,0.032017,0.0342531,0.0435266,0.0236388,0.0578063,0.0275223,0.0280469,0.0134582,0.0247783,0.0288983,0.0428019,0.0379693,0.0315096,0.0506073,0.0486753,0.00775686,0.0152376,0.0474824,0,0.0124824,0.021936,0,0,0.0132854,0,0,0.0329506,0.0462418,0.0443497,0.0351716,0.0378072,0.0242618,0.0289145,0.0243808,0.0486379,0.0627896,0.0623795,0.0636777,0.0639096,0.0140429,0.0341171,0.0201556,0.0216047,0.0430627,0.0234054,0,0,0,0,0,0,0,0,0,0.0450863,0.0228841,0,0.0591313,0,0.0432016,0.0158726,0
19,0.0383791,0.045672,0,0,0,0,0.0298519,0.0485533,0,0,0.0124665,0,0,0.0315517,0.0348666,0.0436373,0.0239077,0.057585,0.0271061,0.0283537,0.0134808,0.0249109,0.029695,0.0436059,0.0385063,0.0329595,0.0520056,0.0488581,0.00754462,0.0144345,0.0486553,0,0.0127448,0.0217207,0,0,0.0136238,0,0,0.0327059,0.0461127,0.044583,0.0349153,0.0366638,0.0241603,0.0287238,0.0241708,0.0482324,0.0627595,0.0623449,0.0638381,0.063935,0.0136603,0.0344695,0.019786,0.0212666,0.0428607,0.0232354,0,0,0,0,0,0,0,0,0,0.0458097,0.0225238,0,0.0591738,0,0.0435738,0.0161088,0
20,0.038508,0.0456959,0,0,0,0,0.0314867,0.0482609,0,0,0.0118028,0,0,0.0317684,0.0362886,0.0466303,0.0236049,0.0590272,0.0264825,0.0279602,0.0137041,0.0253393,0.028752,0.0422984,0.0371167,0.0326527,0.0528829,0.0491336,0.00760182,0.0145577,0.0497429,0,0.0130964,0.0212881,0,0,0.0136088,0,0,0.0325462,0.0452392,0.0445902,0.0349586,0.0348065,0.0232155,0.0296281,0.0235774,0.0491696,0.0625085,0.0618909,0.0635154,0.0636117,0.0130933,0.0350938,0.0193767,0.0207832,0.0428801,0.0226947,0,0,0,0,0,0,0,0,0,0.0442434,0.0222258,0,0.0607893,0,0,0.0164454,0
21,0.0382093,0.0455552,0,0,0,0,0.0328544,0.0460745,0,0,0.011999,0,0,0.0318893,0.0393564,0.0497327,0.0211715,0.0574584,0.0255,0.0279428,0.0157501,0.0221228,0.0600406,0.0412089,0.0365473,0.0329142,0.0540584,0.0487217,0.00729624,0.0147696,0.0510369,0,0.0126332,0.0218077,0,0,0.0135073,0,0,0.0328373,0.0455476,0.0439126,0.0355088,0.0344768,0.0242499,0.03011,0.0223946,0.0495973,0.0630104,0.0621834,0.0638329,0.063852,0.0125387,0.0343356,0.0200654,0.0216543,0.0423703,0.0233916,0,0,0,0,0,0,0,0,0,0.0432905,0.0210274,0,0.0617617,0,0,0.0175558,0
22,0.0384039,0.045323,0,0,0,0,0.0325414,0.0363812,0,0,0.012482,0,0,0.03265,0.0464101,0.0498505,0.0203214,0.0583121,0.0244236,0.0293914,0.0205438,0.0218689,0.0768333,0.0404961,0.0357728,0.0319085,0.0529786,0.0476135,0.00733938,0.0160627,0.0492043,0,0.0138642,0.0210331,0,0,0.0136873,0,0,0.0329413,0.041803,0.0452436,0.0420057,0.0311515,0.0235884,0.029362,0.0249899,0.0509189,0.061477,0.0602712,0.0624582,0.0623998,0.0130047,0.0340648,0.0203325,0.0217052,0.0421821,0.0224403,0,0,0,0,0,0,0,0,0,0.0426867,0.0233374,0,0,0,0,0.0170859,0
23,0.0387236,0.0460491,0,0,0,0,0.0316798,0.0467582,0,0,0.0115377,0,0,0.0317538,0.0399423,0.0485826,0.0225983,0.0607155,0.0257554,0.0278883,0.0152223,0.0258129,0,0.04202,0.0366857,0.0327703,0.0547371,0.0493269,0.00747357,0.0142059,0.053527,0,0.0125534,0.0208688,0,0,0.0133772,0,0,0.0326765,0.0445356,0.0438688,0.0360101,0.0325263,0.0220968,0.0309549,0.0217004,0.0510934,0.0624433,0.0615073,0.063394,0.0631586,0.0126148,0.0357372,0.0192476,0.0203393,0.043348,0.0221648,0,0,0,0,0,0,0,0,0,0.0436164,0.0208388,0,0.0645619,0,0,0.0157367,0
24,0.0383714,0.0460092,0,0,0,0,0.0306715,0.0468391,0,0,0.0117506,0,0,0.0319429,0.040598,0.0467352,0.0223529,0.0584799,0.0257886,0.0279764,0.0155152,0.0238425,0,0.0435716,0.0380822,0.0338197,0.0550428,0.048877,0.0074711,0.0143886,0.0553626,0,0.011825,0.0213345,0,0,0.0138859,0,0,0.0325384,0.0445349,0.0435702,0.0357144,0.033606,0.0231863,0.0308428,0.020677,0.050744,0.0629691,0.0622223,0.0640344,0.063739,0.0135014,0.0349333,0.0196375,0.0209016,0.0430789,0.0228549,0,0,0,0,0,0,0,0,0,0.0455006,0.0198541,0,0.0630891,0,0.0431277,0.0155594,0
25,0.0384597,0.0460064,0,0,0,0,0.0311314,0.0466505,0,0,0.0116813,0,0,0.0320174,0.0405329,0.0467668,0.0222688,0.0582425,0.0262548,0.0280125,0.0153465,0.0240228,0,0.0436981,0.0379988,0.0336842,0.0549969,0.0487909,0.00743538,0.014491,0.0565383,0,0.01199,0.0212387,0,0,0.0140381,0,0,0.0324197,0.0441132,0.0434471,0.0356685,0.033768,0.0230659,0.031092,0.0202628,0.0510484,0.0630218,0.062229,0.0641335,0.0637466,0.0141291,0.0348889,0.0194017,0.0210169,0.0431111,0.0229122,0,0,0,0,0,0,0,0,0,0.0454392,0.0194672,0,0.0636136,0,0.0420964,0.0159065,0
26,0.0384359,0.0459758,0,0,0,0,0.0312226,0.0460746,0,0,0.0116457,0,0,0.0321089,0.04039,0.0469916,0.0221905,0.0577936,0.0267008,0.028059,0.0151167,0.0242487,0,0.0437335,0.0379683,0.0335049,0.0547862,0.0485803,0.00737255,0.0147586,0.0570906,0,0.0122564,0.0213971,0,0,0.0141917,0,0,0.0323681,0.0439288,0.0435304,0.0358141,0.0337865,0.0230138,0.0314447,0.0199073,0.0515959,0.0630291,0.0620896,0.0641475,0.0636276,0.0144693,0.0348275,0.0195307,0.0209865,0.0431291,0.0229031,0,0,0,0,0,0,0,0,0,0.0455069,0.0195477,0,0.0643852,0,0.0413816,0.016307,0
27,0.03835,0.0459038,0,0,0,0,0.031041,0.0455153,0,0,0.0116639,0,0,0.0321813,0.0400496,0.0474625,0.0222421,0.057509,0.0271276,0.0280728,0.0148837,0.0245361,0,0.0435328,0.0379076,0.0334016,0.05485,0.04845,0.00736515,0.0148951,0.0579475,0,0.0124782,0.0215458,0,0,0.0141878,0,0,0.0323756,0.0435708,0.0435017,0.0357236,0.0336859,0.0228654,0.03175,0.0194162,0.052036,0.0630228,0.0620307,0.0640095,0.0635516,0.0149396,0.0348132,0.01966,0.0210759,0.0430342,0.0229327,0,0,0,0,0,0,0,0,0,0.045573,0.0199581,0,0.064895,0,0.0413558,0.0161598,0
28,0.0388157,0.0460455,0,0,0,0,0.0320493,0.0460776,0,0,0.0113271,0,0,0.0320479,0.0394507,0.0495881,0.023387,0.0596839,0.0278255,0.0280135,0.0145578,0.0267909,0,0.0418629,0.0366908,0.0324572,0.0550095,0.0488566,0.0074754,0.0146611,0.0583945,0,0.0132603,0.0210949,0,0,0.0142833,0,0,0.0321321,0.0425396,0.0432882,0.035682,0.032688,0.0217035,0.0322492,0.019483,0.052643,0.062541,0.0614126,0.0633171,0.0631403,0.0149724,0.0356085,0.0188683,0.0203701,0.0433029,0.0223284,0,0,0,0,0,0,0,0,0,0.0441961,0.0213044,0,0.0663329,0,0,0.0162679,0
29,0.0389458,0.0458634,0,0,0,0,0.030842,0.0467549,0,0,0.0113287,0,0,0.0319778,0.038803,0.0480581,0.0236732,0.0598246,0.027667,0.0277793,0.0137774,0.0289291,0.0278881,0.0434401,0.0378171,0.0333912,0.0549065,0.0488794,0.00755549,0.0146419,0.0586004,0,0.0135473,0.0213609,0,0,0.014044,0,0,0.0322451,0.0429446,0.0424156,0.035773,0.0326105,0.0220435,0.0324028,0.0192452,0.0525439,0.062811,0.0614877,0.0633711,0.0633317,0.0150162,0.0353714,0.0191417,0.0208474,0.042969,0.0224512,0,0,0,0,0,0,0,0,0,0.0457137,0.0215909,0,0.0656312,0,0,0.0167572,0
30,0.0392188,0.0458255,0,0,0,0,0.0305453,0.0467712,0,0,0.0108406,0,0,0.0317499,0.039983,0.0479524,0.0240281,0.0599619,0.0276987,0.0270908,0.0145722,0.0301131,0.0277619,0.043922,0.0378224,0.0335963,0.0539739,0.0493946,0.00759112,0.0142529,0.0585498,0,0.0146858,0.0215499,0,0,0.01319,0,0,0.0325056,0.0417957,0.0423507,0.0372366,0.0325009,0.021377,0.0326521,0.0204836,0.0538242,0.0620859,0.0599751,0.0620274,0.0621881,0.0161509,0.0356897,0.0192242,0.0211293,0.0428823,0.022301,0,0,0,0,0,0,0,0,0,0.0458648,0,0,0.0671499,0,0,0.0179359,0
31,0.0389484,0.0457578,0,0,0,0,0.0301592,0.0463,0,0,0.0109935,0,0,0.0318888,0.0397003,0.0482135,0.0235391,0.0597949,0.0276825,0.0277047,0.0144032,0.0314381,0.0264857,0.0445118,0.0383196,0.0344699,0.0533661,0.0491012,0.00761506,0.0143948,0.0587877,0,0.0141767,0.0214267,0,0,0.0139167,0,0,0.0320882,0.0430045,0.0427775,0.0356821,0.0314294,0.0216205,0.0330725,0.0187054,0.0532826,0.0625907,0.0611337,0.0634398,0.0631365,0.016133,0.0356377,0.0190152,0.0210248,0.0425186,0.022466,0,0,0,0,0,0,0,0,0,0.0462881,0.0231887,0,0.0671228,0,0,0.0189628,0
32,0.0391408,0.0458381,0,0,0,0,0.0295732,0.0462102,0,0,0.0107559,0,0,0.0316602,0.0411561,0.0478387,0.0237937,0.0599876,0.0276001,0.0272047,0.0148171,0.0325883,0.0264162,0.0445828,0.0386272,0.0350031,0.0518674,0.0495274,0.00777822,0.0139032,0.0577025,0,0.0155007,0.0214966,0,0,0.01388,0,0,0.0318871,0.0417478,0.042363,0.0372406,0.0312784,0.0215427,0.0333252,0.0197237,0.0547266,0.0620653,0.0593511,0.0617878,0.0619317,0.0164356,0.035887,0.0189509,0.0210609,0.0425235,0.0223004,0,0,0,0,0,0,0,0,0,0.0467105,0,0,0.0688888,0,0,0.0194094,0
33,0.0387596,0.0461744,0,0,0,0,0.0283197,0.0459477,0,0,0.0101906,0,0,0.0320597,0.0423082,0.0473731,0.0245942,0.0594998,0.0279059,0.0273454,0.0158603,0.0336726,0.0262816,0.0448328,0.03882,0.0352409,0.0520907,0.049907,0.00755858,0.0133158,0.0593057,0,0.0161427,0.0208253,0,0,0.014168,0,0,0.0321916,0.0414834,0.0424653,0.0372234,0.0303969,0.020855,0.0331119,0.0195119,0.0546462,0.0618747,0.0590464,0.0612673,0.0615795,0.0173135,0.0356392,0.0188922,0.0208099,0.0426319,0.0220721,0,0,0,0,0,0,0,0,0,0.0471654,0,0,0.0698144,0,0,0.0202617,0
34,0.0389445,0.0458755,0,0,0,0,0.0289958,0.0461071,0,0,0.0107309,0,0,0.0317974,0.0413685,0.0475626,0.0234531,0.0594902,0.0279833,0.0272539,0.0152369,0.0348957,0.0251903,0.0456227,0.0397243,0.0366661,0.051021,0.0494483,0.0079362,0.0139163,0.0607131,0,0.0148515,0.0214767,0,0,0.0138841,0,0,0.0320474,0.0423834,0.0434385,0.0358142,0.0304195,0.0211067,0.0337639,0.0173472,0.0539466,0.0624122,0.0606263,0.0631689,0.0627008,0.0180717,0.0359868,0.0190197,0.0211179,0.0422279,0.0225937,0,0,0,0,0,0,0,0,0,0.0476998,0.0213999,0,0.0685471,0,0,0.0200121,0
35,0.039112,0.0458343,0,0,0,0,0.0283688,0.0461921,0,0,0.0103355,0,0,0.0321372,0.0415955,0.0468522,0.023162,0.0595984,0.0280105,0.0267348,0.0154037,0.0358345,0.0251738,0.0462236,0.0401607,0.0372141,0.0502695,0.0493905,0.00778307,0.0144166,0.0615042,0,0.014988,0.0215041,0,0,0.0133606,0,0,0.0321757,0.042279,0.0436881,0.0355894,0.0300715,0.0204414,0.0342387,0.0170573,0.054247,0.0624014,0.0605634,0.0630951,0.0627418,0.0189174,0.0360988,0.0191748,0.0212211,0.0421714,0.0226346,0,0,0,0,0,0,0,0,0,0.0480296,0.0212207,0,0.0690797,0,0,0.0204768,0
36,0.0391646,0.0458332,0,0,0,0,0.0275526,0.046343,0,0,0.0104066,0,0,0.0320828,0.0421788,0.0459087,0.0230775,0.0595305,0.0278276,0.0266592,0.0157094,0.0362721,0.0255123,0.0465044,0.040522,0.0375343,0.0484995,0.0492711,0.00768206,0.014454,0.0606371,0,0.0155285,0.0215718,0,0,0.0132742,0,0,0.0321756,0.0421558,0.0433929,0.0357794,0.0298197,0.0203344,0.0347566,0.0171612,0.0547711,0.0622472,0.0601216,0.0625101,0.062861,0.0184389,0.0360588,0.0191419,0.0211529,0.0422092,0.0226289,0,0,0,0,0,0,0,0,0,0.0483712,0.021476,0,0.0697541,0,0,0.0208837,0
37,0.0390002,0.0461587,0,0,0,0,0.0259968,0.0467218,0,0,0.00988576,0,0,0.0322839,0.0436201,0.044845,0.023954,0.05922,0.0278583,0.0264772,0.0170033,0.0364103,0.0267223,0.0465765,0.040182,0.0368504,0.0471225,0.0497015,0.00731587,0.0137209,0.0593225,0,0.0172337,0.021044,0,0,0.0135077,0,0,0.0324639,0.0413666,0.042749,0.0368204,0.0295579,0.0198175,0.034476,0.0186179,0.0557736,0.0617483,0.0583054,0.0606574,0.0616863,0.0182423,0.0359134,0.0190154,0.020812,0.0426802,0.0222665,0,0,0,0,0,0,0,0,0,0.048446,0,0,0.0712193,0,0,0.0223503,0
