Timestep,,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,x77,LANK,C7
All Timesteps RMSE,0,0.0136385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420588,0.0183777,0.0216085,0,0,0.0480328,0,0.0277964,0.0257481,0.0589716,0.0365802,0.0444879,0.0219891,0.0175133,0.0256349,0.016012,0.0198695,0.0229931,0.0454259,0.0174385,0.0189865,0.0149373,0.0201781,0.0495978,0.0405028,0.0221755,0.0152361,0.0244738,0.0207788,0.0167252,0.0250827,0.0144878,0,0,0.0423481,0,0.0188214,0.029299,0.0668161,0.0203348,0.0172567,0.0148649,0.0186804,0.0239343,0.0123531,0.0570859,0.0153511,0.0152323,0.0157322,0.0281622,0.0152724,0.0172617,0.0280881,0.0290911,0.031974,0.0176956,0.0129387,0.0630721,0,0,0,0,0.025124,0.00911589
0,0,0.019475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486493,0.00888131,0.0258983,0,0,0.0276025,0,0.0302246,0.0110729,0.0613324,0.0131847,0.0476707,0.0138017,0.0292261,0.0252551,0.00543676,0.0123238,0.0178476,0.0355203,0.00846129,0.0152055,0.00563968,0.00876233,0.0608287,0.0317667,0.0131289,0.00174415,0.0226943,0.0131266,0.00362407,0.0220327,0.0196178,0,0,0.017249,0,0.0314666,0.0138788,0.0705153,0.0131665,0.0268093,0.0179176,0.0262814,0.0183676,0.0141808,0.0487259,0.015942,0.0165234,0.0197882,0.0208005,0.0112711,0.0215204,0.0262444,0.00955886,0.0248506,0.0118354,0.0125053,0.128613,0,0,0,0,0,0
1,0,0.0175513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466802,0.00849123,0.0237961,0,0,0.0245477,0,0.0302721,0.010699,0.0607936,0.0134508,0.0461983,0.0132778,0.026261,0.0252488,0.00478017,0.0110144,0.0175285,0.0357399,0.00854579,0.0142941,0.00548885,0.00901518,0.0580352,0.0228,0.0124857,0.00508159,0.0222048,0.0157488,0.00385328,0.0198566,0.020798,0,0,0.0112746,0,0.0265804,0.00548901,0.0700013,0.0134979,0.0254447,0.0178232,0.0231403,0.0160159,0.0137563,0.0490844,0.0158488,0.015909,0.0195291,0.0204667,0.0111628,0.0210014,0.0254708,0.0134286,0.0159183,0.00698804,0.0095969,0.127766,0,0,0,0,0,0
2,0,0.0182459,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467679,0.00859659,0.0267422,0,0,0.0242326,0,0.0302248,0.0105282,0.0572504,0.0114587,0.0414268,0.021575,0.0270231,0.0260215,0.00775614,0.0190868,0.0248508,0,0.00802131,0.0134292,0.00864014,0.0148708,0.0573047,0,0.0122857,0.00538971,0.0237595,0.0155241,0.00569234,0.0225669,0.0233153,0,0,0.0124875,0,0.0269765,0.00555366,0.069167,0.0152545,0.0290032,0.0179881,0.0270216,0.0167192,0.013902,0.0503326,0.0157815,0.0164545,0.0206845,0.0192096,0.0123287,0.0224134,0.0272607,0.0142802,0.0156354,0.00695196,0.0105811,0.125848,0,0,0,0,0,0
3,0,0.018943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510645,0.00938392,0.0256598,0,0,0.0230508,0,0.0297268,0.00966001,0.0693607,0.0139478,0,0.02007,0.0313359,0.024876,0.0124244,0.0132826,0.0219838,0.028676,0.00770156,0.016179,0.00676218,0.0102885,0.0609476,0,0.0123309,0.00539322,0.0223397,0.0175436,0.00622489,0.0210481,0.0142472,0,0,0.00379343,0,0.0235929,0.00648276,0.0679137,0.0147358,0.0183155,0.0180366,0.0214898,0.0173961,0.0133996,0.0512272,0.0157908,0.0156669,0.0203211,0.0183173,0.0123869,0.0216311,0.0256656,0.00873067,0.0174332,0.00652816,0.0124412,0.132276,0,0,0,0,0,0
4,0,0.0189725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510562,0.00956662,0.0249592,0,0,0.0233158,0,0.029612,0.00983773,0.0693734,0.0140344,0,0.0201495,0.0311838,0.0250426,0.0125649,0.0130652,0.022447,0.02872,0.00778881,0.0159924,0.00684424,0.010303,0.0608693,0,0.0123516,0.00573354,0.022721,0.0174275,0.00621668,0.021181,0.0144276,0,0,0.00362415,0,0.0235727,0.00589124,0.0678148,0.0149549,0.0181137,0.0180709,0.0214351,0.0175324,0.0134567,0.0512677,0.0158655,0.0157261,0.0204635,0.0182689,0.0125121,0.0218452,0.026219,0.00863425,0.0171603,0.00586095,0.0124187,0.132029,0,0,0,0,0,0
5,0,0.0188243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514767,0.00971485,0.0203523,0,0,0.0237491,0,0.0295484,0.0101666,0.0665904,0.0061964,0,0.0289434,0.0302924,0.025363,0.0130549,0.0210069,0.0301199,0,0.00211657,0.0134625,0.00214183,0.0137724,0.0608311,0,0.01238,0.00612593,0.0238634,0.0168821,0.00725268,0.0224089,0.0157428,0,0,0.00499782,0,0.0238726,0.00440347,0.0673488,0.0166571,0.021297,0.0180862,0.0235422,0.0170685,0.0134873,0.0519078,0.0157379,0.0160747,0.0213655,0.0176395,0.0133986,0.0230553,0.0277308,0.00926994,0.0159155,0.00481813,0.0118797,0.130874,0,0,0,0,0,0
6,0,0.0189473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501221,0.00982723,0.0237366,0,0,0.0240343,0,0.0295302,0.0103216,0.0694549,0.0151733,0,0.0197193,0.0306547,0.0252757,0.0131212,0.0117814,0.0196782,0.0288583,0.00852906,0.015429,0.00722345,0.0103299,0.0597098,0,0.012524,0.00629343,0.0234017,0.0170554,0.00632494,0.021628,0.0145409,0,0,0.00378241,0,0.0232055,0.00446833,0.0676374,0.0154668,0.0179228,0.0183405,0.0213579,0.0175158,0.0135436,0.0512907,0.01621,0.0158245,0.0207033,0.0182153,0.0126952,0.022157,0.0270289,0.00863304,0.0152112,0.0042797,0.0122081,0.13171,0,0,0,0,0,0
7,0,0.0189105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513871,0.00987195,0.022696,0,0,0.0243213,0,0.0296074,0.0104936,0.0693855,0.0151837,0,0.0199328,0.03032,0.0253341,0.0131961,0.0121707,0.019862,0.0290768,0.00859284,0.0154927,0.00715384,0.0102222,0.0610495,0,0.0128232,0.00645401,0.0240678,0.0168647,0.00649246,0.021573,0.0144077,0,0,0.00374281,0,0.0228933,0.00393924,0.0675994,0.0159623,0.0182315,0.0185056,0.0218731,0.017527,0.0136698,0.0513142,0.0163549,0.0160424,0.0209467,0.018189,0.0128939,0.0225251,0.0277322,0.00854317,0.0142184,0.00360595,0.0122559,0.131799,0,0,0,0,0,0
8,0,0.0186845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054381,0.0097298,0.0170364,0,0,0.0246913,0,0.0298681,0.0107098,0.0657037,0.00907399,0,0.0256027,0.029324,0.0255624,0.0128603,0.0189669,0.041612,0,0.00359814,0.0128937,0.00340498,0.0124393,0.0647766,0,0.0132365,0.00646914,0.0263924,0.0162007,0.00799473,0.023672,0.0157104,0,0,0.00550758,0,0.0231087,0.00255688,0.0673609,0.0185927,0.0239496,0.018702,0.02625,0.0169823,0.0141252,0.0520944,0.0162476,0.0171,0.0224956,0.0174463,0.0142658,0.0246651,0.0305754,0.00923883,0.0130562,0.00293233,0.0118495,0.130827,0,0,0,0,0,0
9,0,0.0181593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276528,0.0114806,0.0104135,0,0,0.0203799,0,0.0285097,0.00873296,0,0.021568,0,0.0354612,0.0356187,0.0226427,0.0371117,0.0349605,0.0917475,0,0.0265094,0.0253937,0.0233166,0.0095265,0.029864,0,0.0136148,0.00607962,0.0235295,0.0180289,0.00854091,0.0239444,0.0110977,0,0,0.00174127,0,0.0202597,0.00710351,0.0671387,0.0203369,0.0272665,0.0155661,0.0292236,0.0193026,0.0108986,0.0519639,0.0130529,0.0132273,0.0215472,0.0180927,0.0140234,0.023826,0.027947,0.00740957,0.0135896,0.00494237,0.0137959,0.141671,0,0,0,0,0,0
10,0,0.0182251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027845,0.0115365,0.0137707,0,0,0.0208851,0,0.0279576,0.00919575,0,0.0178895,0,0.0345668,0.0371154,0.0234182,0.036616,0.0335253,0.111414,0,0.02555,0.0232538,0.0218586,0.00883618,0.0284306,0,0.013626,0.00630571,0.0265436,0.0179706,0.00937919,0.0246706,0.0111305,0,0,0.00199753,0,0.0200166,0.00644907,0.0671261,0.0226362,0.0285302,0.0156716,0.0306657,0.0189582,0.0111807,0.0523499,0.0129821,0.0143981,0.022939,0.0182883,0.0150114,0.026057,0.0314514,0.00792475,0.0125248,0.00475499,0.0137856,0.141738,0,0,0,0,0,0
11,0,0.0181179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613305,0.00976299,0.0153402,0,0,0.025125,0,0.0289961,0.0111901,0.0651593,0.0149566,0,0.0193957,0.0292392,0.0258131,0.0119841,0.0150119,0.102789,0,0.0106722,0.0148583,0.00670882,0.0113006,0.0744824,0,0.0132142,0.00693758,0.0302019,0.015761,0.00927364,0.0256726,0.0154738,0,0,0.00699704,0,0.0225013,0.00115763,0.0677245,0.021786,0.0295586,0.019155,0.0304035,0.0164958,0.0151044,0.0524913,0.0164478,0.0187771,0.0245409,0.0172103,0.0157796,0.0276254,0.0349818,0.00969591,0.0105764,0.0030106,0.0113783,0.131385,0,0,0,0,0,0
12,0,0.0181586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607076,0.0098573,0.0160571,0,0,0.0254186,0,0.0288007,0.0114575,0.0651672,0.015159,0,0.0192184,0.0290303,0.0261895,0.0119178,0.0146677,0.0997676,0,0.0108115,0.0144817,0.0065833,0.0112294,0.0738382,0,0.0133038,0.00708523,0.0303708,0.0157251,0.0093277,0.0254879,0.0156577,0,0,0.00751164,0,0.0222816,0.000808856,0.0676047,0.0220624,0.0293558,0.019176,0.03013,0.0164969,0.0151481,0.0524717,0.0164871,0.0188789,0.0246501,0.0171636,0.0158824,0.0277678,0.0350779,0.00983085,0.0102697,0.00340471,0.0113554,0.13116,0,0,0,0,0,0
13,0,0.0181994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542249,0.00995428,0.0158811,0,0,0.025598,0,0.0287804,0.0116056,0.0661129,0.0187947,0,0.0163092,0.0283651,0.0268233,0.0119383,0.00899022,0.0963186,0,0.015383,0.0139683,0.00750959,0.00994191,0.0670262,0,0.0133541,0.00721937,0.030219,0.0155348,0.00940383,0.0253533,0.0160374,0,0,0.00846896,0,0.0222199,0.00117505,0.0674939,0.0223166,0.0293995,0.0190539,0.0296734,0.0162278,0.0149668,0.0525694,0.0163177,0.0187963,0.0246533,0.0171134,0.0159511,0.0278023,0.0348668,0.0101576,0.00999905,0.00391647,0.0108129,0.130678,0,0,0,0,0,0
14,0,0.0183254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542392,0.00992646,0.0164915,0,0,0.0260513,0,0.0286898,0.0118569,0.0661289,0.0186996,0,0.0163236,0.0279784,0.0275339,0.0120643,0.00900407,0.09704,0,0.0153251,0.0138418,0.00734959,0.00990964,0.066955,0,0.0134728,0.00742534,0.0303681,0.0155656,0.00962141,0.0251277,0.0160643,0,0,0.00905949,0,0.0220706,0.00148542,0.0676268,0.0226747,0.0293173,0.018918,0.0293395,0.0160809,0.0147858,0.0526932,0.0161248,0.0186703,0.0247601,0.0171645,0.0160195,0.0280318,0.035016,0.0102683,0.00947835,0.00429788,0.0102006,0.13055,0,0,0,0,0,0
15,0,0.0181339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273396,0.0119131,0.0191358,0,0,0.0218064,0,0.0273151,0.00979186,0,0.0178359,0,0.0343762,0.036018,0.0255675,0.0364938,0.0332189,0.10883,0,0.0250736,0.0224922,0.0209427,0.00852585,0.0279448,0,0.0138354,0.0071219,0.0269326,0.0181003,0.0100139,0.0235343,0.0113678,0,0,0.00477361,0,0.0191257,0.00431216,0.0669403,0.023874,0.0278385,0.0153859,0.0295338,0.0183156,0.010755,0.0525095,0.0126196,0.0141362,0.0232727,0.0183478,0.0152424,0.0265946,0.0315802,0.0085557,0.0104772,0.00555628,0.0126762,0.14108,0,0,0,0,0,0
16,0,0.0186421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616039,0.0100059,0.015019,0,0,0.0265012,0,0.0284223,0.0120797,0.0642625,0.0124505,0,0.022042,0.0270481,0.0288102,0.012537,0.0177379,0.101128,0,0.00775669,0.0145702,0.0052392,0.0117736,0.0740388,0,0.0136425,0.00777321,0.0296674,0.0158274,0.00969299,0.023695,0.0157682,0,0,0.0101798,0,0.0218727,0.00250329,0.0673435,0.0227517,0.0276815,0.0186614,0.0276574,0.0158348,0.0144579,0.0526967,0.0158976,0.0180502,0.0245386,0.0173012,0.0157801,0.0276726,0.034098,0.0104452,0.00906157,0.00508349,0.0102193,0.130599,0,0,0,0,0,0
17,0,0.0188952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420536,0.00943851,0.00863046,0,0,0.0282954,0,0.0287062,0.013029,0.0671692,0.0152891,0,0.0198119,0.02233,0.0311161,0.0146368,0.0115084,0,0,0.0108038,0.00894441,0.00522073,0.0105018,0.0510628,0,0.0136234,0.00819164,0.0262853,0.0153674,0.00848089,0.0191304,0.0166183,0,0,0.0118098,0,0.0222964,0.00384848,0.0666592,0.0209526,0.0218683,0.0178917,0.0204615,0.0154237,0.0131357,0.0522875,0.0154021,0.0159439,0.0228164,0.0177652,0.0145892,0.0252178,0.0300497,0.0111469,0.00879187,0.0056192,0,0.129605,0,0,0,0,0,0
18,0,0.0186961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483211,0.009729,0.0106705,0,0,0.0277323,0,0.0283902,0.0126366,0.0694069,0.0174022,0,0.0187945,0.0221173,0.0308478,0.0144176,0.0108538,0,0.0294191,0.00995985,0.0143453,0.00756879,0.0104285,0.0570286,0,0.0136765,0.00806951,0.0247998,0.0158189,0.00734529,0.0168251,0.0152588,0,0,0.0106705,0,0.0214527,0.00258837,0.0667691,0.019401,0.0168588,0.0176124,0.0167858,0.0159177,0.0127299,0.0517268,0.0154116,0.0150954,0.0217635,0.0185229,0.0137284,0.0238069,0.0280882,0.0104699,0.00887673,0.00549739,0,0.130838,0,0,0,0,0,0
19,0,0.0184817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479803,0.0103684,0.0140393,0,0,0.0263323,0,0.0278722,0.0120479,0.0695096,0.0165096,0,0.0189536,0.0250457,0.0285413,0.0141518,0.0113497,0,0.0289317,0.00931098,0.0144809,0.00734234,0.0106456,0.0564605,0,0.0137855,0.00798173,0.0247841,0.0159677,0.00793045,0.0186216,0.0154806,0,0,0.0106756,0,0.0212163,0.00263749,0.0664247,0.0199841,0.0178578,0.0174744,0.0181948,0.0165517,0.0127426,0.0522284,0.0153086,0.0150986,0.0220808,0.0181882,0.0140493,0.0242458,0.0279762,0.0105489,0.00912669,0.00563737,0.0104201,0.1309,0,0,0,0,0,0
20,0,0.0185748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482955,0.0105668,0.0151672,0,0,0.0259075,0,0.027659,0.0119929,0.0695474,0.0159902,0,0.0188999,0.0255325,0.0276181,0.0139724,0.0118656,0,0.0287817,0.00893035,0.014939,0.00719806,0.0106971,0.0569877,0,0.0138817,0.00804866,0.0245449,0.0159865,0.00822131,0.0189196,0.0155142,0,0,0.0109597,0,0.0211518,0.00283531,0.0662083,0.0205923,0.0181039,0.0172454,0.0185539,0.0168416,0.0126015,0.052496,0.0150327,0.0149021,0.022175,0.0181281,0.0141691,0.0244227,0.0274767,0.010626,0.00943302,0.00581284,0.0104635,0.131141,0,0,0,0,0,0
21,0,0.0185568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488656,0.0106747,0.0161756,0,0,0.0257072,0,0.0275168,0.0119137,0.0694937,0.0156864,0,0.0186954,0.0255759,0.0271818,0.0137775,0.0124193,0,0.0287473,0.00872365,0.0155458,0.00709224,0.0106381,0.0577636,0,0.0139779,0.00809787,0.0242646,0.0159833,0.00853066,0.0189197,0.0154943,0,0,0.0111901,0,0.0211118,0.00284806,0.0660818,0.0213861,0.0182122,0.01693,0.018776,0.0169665,0.0124012,0.0527885,0.0146916,0.014682,0.0222455,0.0181465,0.0143136,0.0245763,0.0269318,0.0106662,0.00945449,0.0058608,0.0107617,0.131331,0,0,0,0,0,0
22,0,0.0186914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049161,0.0107116,0.0158368,0,0,0.0257238,0,0.027334,0.0119421,0.0694037,0.0156998,0,0.0183202,0.0254755,0.0274397,0.0136018,0.0128709,0,0.0287143,0.00876748,0.0161151,0.00705792,0.0105297,0.0581626,0,0.0140173,0.00806262,0.0236751,0.0159918,0.00892388,0.0188021,0.0155434,0,0,0.0113575,0,0.0210501,0.00272575,0.0660027,0.0219081,0.0182805,0.0165263,0.0189607,0.0170222,0.0121412,0.0530943,0.0142894,0.0143349,0.0223109,0.0181807,0.0145009,0.024761,0.0265149,0.0106247,0.00946207,0.00585398,0.0105937,0.131341,0,0,0,0,0,0
23,0,0.0189167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375873,0.0106151,0.0146955,0,0,0.0266809,0,0.0273786,0.0124377,0.0669364,0.0142274,0,0.0176144,0.0245959,0.0282385,0.013199,0.0111837,0,0,0.00860418,0.00988802,0.00414093,0.0105165,0.0455885,0,0.0139914,0.00831053,0.0236931,0.0152974,0.0103065,0.0201412,0.0176963,0,0,0.0132777,0,0.0220466,0.00406411,0.0655338,0.0237316,0.0219847,0.0161157,0.0213161,0.0166329,0.0120471,0.0540904,0.0137533,0.0143308,0.0230417,0.0175181,0.0153841,0.0257614,0.0268383,0.0114774,0.00939537,0.00609586,0.00993172,0.129564,0,0,0,0,0,0
24,0,0.0189649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378898,0.0109018,0.015182,0,0,0.026928,0,0.027451,0.0126326,0.0668577,0.014122,0,0.0171931,0.0243219,0.0283805,0.0128595,0.0113855,0,0,0.00828126,0.0101118,0.00397031,0.0104492,0.0460185,0,0.0140215,0.00845886,0.0230745,0.015304,0.0106337,0.0199055,0.0176754,0,0,0.0134751,0,0.0221042,0.00399634,0.0655904,0.0242218,0.0220223,0.0155765,0.0212895,0.0166508,0.0117086,0.054426,0.0132198,0.0138322,0.0229444,0.0176056,0.0154193,0.0257072,0.026224,0.0114207,0.00964548,0.00595896,0.00982796,0.129601,0,0,0,0,0,0
25,0,0.0186624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517855,0.0111394,0.0181035,0,0,0.0261033,0,0.0270225,0.0121614,0.0693785,0.0143847,0,0.0186289,0.0244016,0.0276651,0.0134642,0.0158706,0,0.0282846,0.00854482,0.0181333,0.00692169,0.0102503,0.0615762,0,0.014034,0.00836797,0.0217503,0.0160749,0.0100448,0.0179387,0.0153202,0,0,0.0120239,0,0.021097,0.00258226,0.0660626,0.0234554,0.0184447,0.0148976,0.0188614,0.0170714,0.010992,0.0540521,0.0125626,0.0127035,0.0219108,0.0183902,0.0146196,0.0245842,0.0245989,0.0104353,0.0102166,0.00560272,0.0102745,0.131754,0,0,0,0,0,0
26,0,0.0187266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518901,0.0111843,0.0168245,0,0,0.0259054,0,0.0268531,0.0120994,0.0692971,0.0143058,0,0.0184107,0.0243448,0.0274869,0.01367,0.0166605,0,0.0279974,0.00866286,0.0187982,0.00683945,0.0102042,0.06168,0,0.0140794,0.00836323,0.0210009,0.0162214,0.0104544,0.017611,0.01532,0,0,0.0121755,0,0.0211618,0.00251807,0.0660245,0.0241146,0.0183634,0.0147564,0.0189202,0.0172062,0.0107154,0.054385,0.0119662,0.0121883,0.0215614,0.0183412,0.0145535,0.0244006,0.0238544,0.0103649,0.0106263,0.00555709,0.0106098,0.131868,0,0,0,0,0,0
27,0,0.0189375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517742,0.0113276,0.0161005,0,0,0.0257674,0,0.0267294,0.012017,0.0691087,0.0145506,0,0.0180251,0.0242314,0.0276847,0.0138735,0.017281,0,0.0278438,0.00892996,0.019318,0.00680451,0.0100817,0.0616191,0,0.0141051,0.00833969,0.0202475,0.0164349,0.0108288,0.0172948,0.0153822,0,0,0.0121554,0,0.0212557,0.00233347,0.0659998,0.0247568,0.018283,0.0144074,0.0190447,0.0173355,0.0104292,0.0548143,0.0113544,0.0116397,0.0212606,0.0183734,0.0144386,0.0241749,0.0232262,0.0101975,0.0115024,0.00563097,0.010647,0.131887,0,0,0,0,0,0
28,0,0.0191833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378616,0.0110944,0.0137255,0,0,0.0266467,0,0.026864,0.0125364,0.0663554,0.014314,0,0.0149629,0.0232005,0.0285334,0.0120903,0.0126158,0,0,0.00754954,0.0120752,0.00348051,0.0101367,0.0458302,0,0.0140656,0.00853596,0.0197803,0.0156488,0.0119714,0.0183371,0.0178041,0,0,0.0139765,0,0.0224381,0.00374145,0.0657545,0.0262591,0.0213754,0.0142477,0.0208712,0.0171499,0.0106439,0.0558539,0.0109444,0.0117142,0.0216446,0.0178116,0.0150142,0.024652,0.0230096,0.0111654,0.0128753,0.00604686,0.0101813,0.129867,0,0,0,0,0,0
29,0,0.019046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364942,0.011564,0.0163155,0,0,0.025872,0,0.0266557,0.0122094,0.069732,0.0201103,0,0.0137665,0.0231071,0.0281065,0.0150805,0.0111282,0.0154485,0.0265874,0.0133892,0.0142368,0.0081896,0.0110349,0.044387,0,0.0140416,0.00850775,0.0174925,0.0162786,0.0116014,0.0165451,0.0161254,0,0,0.0128658,0,0.0216758,0.00288491,0.0659253,0.0252803,0.0180977,0.0134343,0.0182652,0.0175441,0.00986191,0.0557766,0.0101833,0.0102726,0.0204242,0.0184256,0.0141255,0.0230813,0.0204117,0.0104096,0.0146174,0.00596365,0.0105012,0.131524,0,0,0,0,0,0
30,0,0.0190152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541304,0.0120381,0.0171962,0,0,0.0250042,0,0.0263827,0.0118494,0.0697812,0.028432,0,0.024228,0.0232444,0.0274732,0.0160784,0.0226851,0.0227577,0.028199,0.0101139,0.0234508,0.0125491,0,0.0657894,0,0.0140263,0.00845642,0.0156136,0.0168724,0.0117675,0.0157872,0.0149676,0,0,0.012123,0,0.0210805,0.00258341,0.0659959,0.0250926,0.01696,0.0126321,0.0175611,0.017847,0.00920336,0.0561091,0.00937166,0.00923526,0.0195966,0.0187914,0.0136358,0.0220447,0.0184647,0.0099307,0.0150681,0.00596203,0.0110436,0.132937,0,0,0,0,0,0
31,0,0.0189451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528574,0.0120345,0.0157259,0,0,0.0251457,0,0.0263014,0.0118416,0.0688546,0.0138882,0,0.0192198,0.0229487,0.0274563,0.0153193,0.021612,0.0178078,0.0272039,0.00996854,0.0213903,0.0068335,0.009918,0.0628899,0,0.0140169,0.00849147,0.0148437,0.0167421,0.012282,0.0158221,0.0154274,0,0,0.0125264,0,0.0213357,0.00254049,0.0662407,0.0257888,0.0180785,0.0123775,0.0183341,0.0176223,0.0093763,0.0567459,0.00903646,0.00929887,0.019503,0.0188833,0.0137063,0.0220062,0.0180101,0.0101368,0.014951,0.00580809,0.0110379,0.132507,0,0,0,0,0,0
32,0,0.0190687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520085,0.0119686,0.0133797,0,0,0.0257931,0,0.0264884,0.0121487,0.065089,0.00904616,0,0.0262969,0.0224834,0.0279317,0.0154818,0.0270317,0.0246774,0,0.00615715,0.0205996,0.00413116,0.0124002,0.0615468,0,0.0140778,0.00864144,0.0141911,0.0162312,0.0131811,0.0165782,0.0169018,0,0,0.013801,0,0.022039,0.00314688,0.0663584,0.0270586,0.0210945,0.0123458,0.0203919,0.0172618,0.00985055,0.0575816,0.00880502,0.00980671,0.0197167,0.0187577,0.0139611,0.022318,0.0176575,0.0109248,0.0148149,0.00570578,0.0104816,0.1312,0,0,0,0,0,0
33,0,0.0190748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512814,0.0121733,0.0142444,0,0,0.0255957,0,0.0263947,0.0120843,0.0649092,0.00928994,0,0.0260388,0.0223154,0.0278883,0.0157473,0.0273906,0.0241524,0,0.0064333,0.0207182,0.0041431,0.012353,0.0612265,0,0.0141028,0.00873161,0.0122503,0.0162925,0.0134702,0.0162657,0.0168999,0,0,0.0140946,0,0.0219268,0.00338122,0.0664924,0.0271457,0.0210713,0.0120787,0.0203724,0.0172441,0.00980756,0.0580372,0.00845569,0.00964042,0.0191544,0.0190184,0.0136322,0.0215792,0.0157878,0.0111359,0.0151996,0.00578923,0.0107882,0.131258,0,0,0,0,0,0
34,0,0.0190851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518439,0.0125294,0.0157691,0,0,0.0247401,0,0.0261934,0.0117059,0.0684294,0.0135953,0,0.0197491,0.0224016,0.0273945,0.0166128,0.0239853,0.0172599,0.0269554,0.010189,0.0218468,0.00642878,0.0099599,0.0627528,0,0.0140831,0.00867789,0.00913372,0.0169537,0.0133837,0.0149235,0.0154431,0,0,0.0126021,0,0.0211563,0.00265334,0.0665899,0.026239,0.018156,0.0114249,0.0182547,0.0172979,0.00918055,0.0580719,0.00787841,0.00882696,0.0177214,0.0196303,0.0126427,0.0197976,0.0128099,0.010047,0.0153848,0.00579965,0.010991,0.132769,0,0,0,0,0,0
35,0,0.0191533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512283,0.0126027,0.0155387,0,0,0.0243978,0,0.0261621,0.0116054,0.0682978,0.0136505,0,0.0198503,0.0223235,0.0274225,0.0170083,0.0243086,0.0170165,0.0267947,0.0101157,0.0217014,0.0063168,0.00998572,0.0622339,0,0.0140995,0.00869977,0.00685502,0.0169631,0.0137675,0.0147309,0.0153948,0,0,0.0125594,0,0.0210832,0.00264327,0.0666976,0.0260499,0.0179351,0.0111915,0.0181415,0.0171067,0.00922234,0.058495,0.00768863,0.00901284,0.016993,0.0199156,0.0122753,0.0189082,0.0110631,0.00985134,0.0154148,0.00571043,0.0109753,0.132724,0,0,0,0,0,0
36,0,0.0191572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510714,0.0126494,0.0163979,0,0,0.0240427,0,0.0260828,0.011381,0.0681355,0.0137348,0,0.0198426,0.0223048,0.0274554,0.0173207,0.0245533,0,0.0266779,0.0100253,0.0216878,0.00619492,0.00994621,0.0619339,0,0.0140689,0.00871994,0.00501572,0.0170073,0.0141477,0.0146201,0.0153699,0,0,0.0125448,0,0.0209938,0.00270278,0.0668559,0.0257022,0.017902,0.0109301,0.0181673,0.016903,0.00926803,0.0589221,0.00754843,0.00932493,0.0161373,0.0202617,0.0117676,0.0178666,0.00918201,0.00967281,0.0154399,0.00571299,0.011083,0.132686,0,0,0,0,0,0
