Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHII,,RTIBI,RTIBP
All Timesteps RMSE,0,0,0,0,0.0404206,0.0639534,0,0,0,0.0465272,0,0.0196224,0.0535808,0,0,0.0167894,0,0,0.0409297,0.0559844,0.0305744,0.0352385,0.0232709,0.0731919,0.0410088,0.0462717,0.0671562,0.0532794,0.0191615,0.0557071,0.0589878,0.0314334,0.0354025,0.0316994,0.04585,0.0153395,0.0159116,0.0257967,0,0.029501,0.0474096,0.0333434,0,0,0.0223283,0,0,0.0257012,0.0762633,0.0215486,0.0153865,0.0279128,0.0616934,0.0295908,0.0347738,0.0628015,0.0353146,0.0285624,0.0286603,0.0334441,0.035449,0.00693392,0.0199453,0.0542971,0.0557683,0,0,0,0.0610539,0,0.0144393,0.0351171
0,0,0,0,0,0.0406689,0.065803,0,0,0,0.0535699,0,0.0179836,0.0510081,0,0,0.016818,0,0,0.0412568,0.0495237,0.0225571,0.0443132,0.0224244,0.0820892,0.0423873,0.0504667,0.0708696,0.051106,0.0192131,0.0583804,0.0623093,0.0347863,0.0374916,0.0184503,0.0487369,0.0157147,0.0167347,0.0269524,0,0.0182313,0.0446727,0.0326075,0,0,0.0200384,0,0,0.0249887,0.0772992,0.0238425,0.0106712,0.0230754,0.0566204,0.0286575,0.0315143,0.0616505,0.0340116,0.0225485,0.0307505,0.0467038,0.0380271,0.00681817,0.0180654,0.0559499,0.0566954,0,0,0,0,0,0,0
1,0,0,0,0,0.0406502,0.0653375,0,0,0,0.0529617,0,0.0183678,0.0507814,0,0,0.0162868,0,0,0.0412539,0.0498387,0.0231429,0.0442493,0.0222976,0.0817987,0.0425157,0.0505523,0.0699923,0.0506288,0.019201,0.0574644,0.0614717,0.0341035,0.0365659,0.0182166,0.0482613,0.0154111,0.0171994,0.028211,0,0.0177144,0.0446117,0.0322613,0,0,0.0204138,0,0,0.0250597,0.0763774,0.0254216,0.0110958,0.0213214,0.0580556,0.0292036,0.0341266,0.0640672,0.0348074,0,0.0224221,0.049906,0.0376423,0.00672995,0.0185866,0.0557475,0.0572413,0,0,0,0,0,0,0
2,0,0,0,0,0.0407623,0.0648898,0,0,0,0.0528993,0,0.018837,0.0520965,0,0,0.0164128,0,0,0.0412348,0.0495759,0.0232156,0.0438292,0.0216551,0.0803164,0.0425624,0.0504335,0.0696737,0.050996,0.0191419,0.0564038,0.0605687,0.033173,0.0358037,0.0187851,0.0478566,0.0156679,0.0167382,0.0315285,0,0.017025,0.0451408,0.0322497,0,0,0.0206712,0,0,0.0251672,0.0740583,0.0309825,0.0113441,0.0196838,0.0601099,0.029647,0.0377291,0.0696068,0.0379616,0,0.0589819,0.0464224,0.0373574,0.0066652,0.0190831,0.055481,0.0569678,0,0,0,0,0,0,0
3,0,0,0,0,0.0412012,0.0641382,0,0,0,0.0524905,0,0.01923,0.049442,0,0,0.0159268,0,0,0.0415336,0.0495113,0.0232626,0.0454035,0.0213159,0.0809919,0.0440749,0.051157,0.0700731,0.0510692,0.0184894,0.056276,0.0606459,0.033121,0.0356332,0.0187069,0.0470477,0.0151996,0.0176352,0.0298148,0,0.0192937,0.04325,0.0321092,0,0,0.0211724,0,0,0.0255196,0.0757905,0.0321035,0.0126077,0.0226789,0.0612653,0.0305923,0.0367928,0.0679484,0.0358074,0,0.082139,0.0494255,0.0365357,0.00666061,0.0199588,0.0546812,0.0582738,0,0,0,0.0676637,0,0,0
4,0,0,0,0,0.0413622,0.0636867,0,0,0,0.0528503,0,0.0194347,0.0491897,0,0,0.015723,0,0,0.0415169,0.0496533,0.0228552,0.0457404,0.0211172,0.0798696,0.0443767,0.051415,0.07053,0.0516936,0.0184458,0.0561103,0.060582,0.0330835,0.0353825,0.0194919,0.0467425,0.0149762,0.0180342,0.0269645,0,0.0209978,0.043079,0.0322039,0,0,0.0213251,0,0,0.0257256,0.0757018,0.032087,0.0125043,0.022729,0.0624128,0.0311544,0.0382235,0.0692205,0.0365181,0,0.0794596,0.0528486,0.0360047,0.00673621,0.0205613,0.0541754,0.0584311,0,0,0,0.0687185,0,0,0
5,0,0,0,0,0.0409741,0.0631782,0,0,0,0.0476823,0,0.0175065,0.0477367,0,0,0.0159481,0,0,0.0412683,0.0508711,0.020418,0.0460083,0.0224086,0.0794138,0.0453949,0.0495291,0.0686981,0.0512671,0.0192528,0.0587605,0.0631396,0.0359028,0.0375534,0.0135184,0.0459581,0.0150186,0.018979,0.0186246,0,0.0302052,0.0427911,0.0328141,0,0,0.021311,0,0,0.0267344,0.0769867,0.0317131,0.0135167,0.0232267,0.0633304,0.0318963,0.0395439,0.0691204,0.0348845,0,0,0.0519761,0.0350522,0.00645302,0.0213345,0.0533557,0.059196,0,0,0,0.0669066,0,0,0
6,0,0,0,0,0.0406623,0.0630723,0,0,0,0.0476422,0,0.0176129,0.0490357,0,0,0.0161837,0,0,0.0411154,0.0508966,0.0200197,0.0459828,0.0225865,0.0787039,0.0454772,0.0488112,0.0684162,0.0513082,0.0193913,0.0588921,0.0631883,0.0359868,0.0374573,0.0137319,0.0459599,0.0151528,0.0188326,0.0162196,0,0.0319555,0.0428569,0.0331914,0,0,0.0215373,0,0,0.0268628,0.0772056,0.0332457,0.0137865,0.0231334,0.0638956,0.0321342,0.0403131,0.0698889,0.0346968,0,0,0.052669,0.0347124,0.00651631,0.0215028,0.052849,0.0591426,0,0,0,0.0671238,0,0,0
7,0,0,0,0,0.040339,0.0630587,0,0,0,0.0475254,0,0.0178037,0.0507067,0,0,0.016821,0,0,0.0408042,0.05111,0.0199339,0.0457432,0.0227692,0.0783792,0.0456085,0.0479767,0.0676757,0.0510754,0.0194529,0.058836,0.0631365,0.0359348,0.0373414,0.0139609,0.0459787,0.0155937,0.0178996,0.0155813,0,0.0332746,0.0429728,0.0336368,0,0,0.0221797,0,0,0.0269155,0.0775996,0.0331945,0.0138727,0.0229814,0.0639423,0.0324637,0.040689,0.070067,0.0341537,0,0,0.0519569,0.0343011,0.00668352,0.0215143,0.052488,0.0590301,0,0,0,0.0667369,0,0,0
8,0,0,0,0,0.0400171,0.0630734,0,0,0,0.0474232,0,0.0180481,0.0522806,0,0,0.0170747,0,0,0.0406198,0.0513285,0.0199545,0.0452851,0.0229189,0.0787509,0.0454625,0.0472819,0.067104,0.0508721,0.0196099,0.0586061,0.0628271,0.0357631,0.0371486,0.0140612,0.0461716,0.0158085,0.0173642,0.0154317,0,0.0326197,0.0429277,0.0341202,0,0,0.0226675,0,0,0.0270488,0.0780523,0.0315033,0.0137125,0.0231836,0.063555,0.0326573,0.0408129,0.06999,0.0335542,0,0,0.0495068,0.0339851,0.00677322,0.0215817,0.0522248,0.0588905,0,0,0,0.0661583,0,0,0
9,0,0,0,0,0.0403771,0.0630627,0,0,0,0.0531677,0,0.0205099,0.0533811,0,0,0.0167831,0,0,0.0407548,0.050832,0.0218347,0.0457732,0.0222514,0.0806974,0.0459527,0.0480947,0.0682636,0.0512391,0.019278,0.0562595,0.0607947,0.0332534,0.0348307,0.0210845,0.0466604,0.0155072,0.0170531,0.0124781,0,0,0.0434195,0.0339749,0,0,0.023537,0,0,0.0264381,0.0797655,0.027062,0.013573,0.0245092,0.0624349,0.0328997,0.0408425,0.0680237,0.0325889,0,0,0.0515545,0.0337836,0.00729846,0.0215333,0.0519073,0.0595029,0,0,0,0.0637505,0,0,0
10,0,0,0,0,0.0402115,0.0631434,0,0,0,0.0534671,0,0.0206254,0.0547,0,0,0.0168398,0,0,0.0406425,0.050781,0.021727,0.0451745,0.0223314,0.0815476,0.0455604,0.0474882,0.0677911,0.0514149,0.0192585,0.0560533,0.0607498,0.0330439,0.0345931,0.0214718,0.0467067,0.0155539,0.0168665,0.0115475,0,0,0.0430731,0.0343384,0,0,0.0238283,0,0,0.0266309,0.0803642,0.0244893,0.0132277,0.0254899,0.0617821,0.0333299,0.0405906,0.0675733,0.0320867,0,0,0.0477333,0.0334478,0.00743753,0.0217388,0.0517657,0.0592315,0,0,0,0.0634431,0,0,0
11,0,0,0,0,0.0401313,0.0632463,0,0,0,0.053808,0,0.0206976,0.0556282,0,0,0.0168018,0,0,0.0405698,0.050765,0.0217002,0.0444656,0.0224555,0.082079,0.0449747,0.0470343,0.067401,0.0514654,0.0192524,0.0558208,0.060634,0.0328599,0.0343547,0.0220708,0.0466188,0.015535,0.0167062,0.0122094,0,0,0.0427761,0.0345417,0,0,0.0240872,0,0,0.0267625,0.0809678,0.022586,0.0128408,0.0265477,0.0612814,0.0336537,0.0398486,0.0667528,0.031538,0,0,0.0465447,0.0332469,0.00744733,0.0219171,0.0516797,0.0588357,0,0,0,0.0629906,0,0.0127098,0
12,0,0,0,0,0.0400016,0.063364,0,0,0,0.0539555,0,0.0207633,0.056721,0,0,0.0167401,0,0,0.0405445,0.0507218,0.02176,0.0435981,0.0225705,0.0817273,0.044133,0.0466534,0.0671093,0.0515735,0.0192163,0.0554745,0.0602613,0.032636,0.0340426,0.0224719,0.0464948,0.0155212,0.0164966,0.0148522,0,0,0.0423277,0.0346048,0,0,0.0241601,0,0,0.0268175,0.0808408,0.024539,0.0125718,0.0271998,0.0611989,0.0338069,0.0389256,0.0668707,0.030992,0.0278709,0,0.0424567,0.0331762,0.00735475,0.0220074,0.0516846,0.0581927,0,0,0,0.063037,0,0.0101575,0
13,0,0,0,0,0.0399465,0.0633726,0,0,0,0.0543102,0,0.0208372,0.0574168,0,0,0.0166462,0,0,0.0407065,0.0509907,0.0217509,0.0429021,0.0226711,0.0807959,0.0434985,0.0461984,0.0666557,0.051716,0.0193157,0.055198,0.0597921,0.0324492,0.0337616,0.0230893,0.0462773,0.0154431,0.0164612,0.0154832,0,0,0.0420521,0.0345066,0,0,0.0242213,0,0,0.0268325,0.0810351,0.0242624,0.0128337,0.0275664,0.0613741,0.0337892,0.0388643,0.0668144,0.0305077,0.0280681,0,0.0416603,0.0331828,0.00724671,0.0220802,0.0516748,0.0578268,0,0,0,0.0618985,0,0.00986402,0
14,0,0,0,0,0.0399457,0.0633202,0,0,0,0.0545319,0,0.0209359,0.0581094,0,0,0.0166329,0,0,0.0409822,0.0510937,0.021791,0.0422229,0.0227933,0.0790968,0.0427105,0.045807,0.0664749,0.051922,0.0191386,0.0548997,0.0593609,0.0322651,0.0334865,0.0234546,0.0462063,0.0154598,0.01643,0.0188407,0,0,0.0415548,0.0343295,0,0,0.0240293,0,0,0.0268544,0.0807453,0.0272925,0.0131029,0.0283871,0.0616513,0.0335199,0.0382685,0.0673502,0.0302059,0.0247676,0,0.0392482,0.033312,0.00720486,0.0220661,0.0518006,0.0572843,0,0,0,0.0629025,0,0.0103555,0.0285941
15,0,0,0,0,0.0400433,0.0632466,0,0,0,0.0553441,0,0.0203395,0.0582245,0,0,0.016497,0,0,0.0413448,0.0515282,0.0204316,0.0418752,0.0231291,0.0775225,0.0428029,0.0454278,0.0660877,0.0522646,0,0.0547301,0.0591581,0.0322562,0.0334695,0.0249623,0.0461693,0.015397,0.0166663,0.0181938,0,0,0.0425371,0.033938,0,0,0.0236323,0,0,0.0267641,0.080579,0.0274816,0.0128963,0.0285373,0.0617375,0.032871,0.0380848,0.0674418,0.0298895,0.0247239,0,0.0405439,0.0336523,0.00715112,0.0218781,0.0519337,0.0570569,0,0,0,0.0632028,0,0.0111206,0.0288336
16,0,0,0,0,0.0400034,0.0631015,0,0,0,0.0545474,0,0.0212163,0.0591184,0,0,0.0164594,0,0,0.0416604,0.0509084,0.0218126,0.0410821,0.0233437,0.0755183,0.0423362,0.0448819,0.0655528,0.0523486,0.0186256,0.0544669,0.0590976,0.0320558,0.0329344,0.0243405,0.0462035,0.0153461,0.0168205,0.017862,0,0,0.0415262,0.0337858,0,0,0.0234345,0,0,0.026784,0.0814053,0.0276414,0.0144403,0.0287716,0.0624292,0.0326584,0.0383895,0.0674304,0.0297245,0.0243877,0,0.040899,0.0336851,0.00715559,0.0219979,0.0519846,0.0566899,0,0,0,0.0630505,0,0.0114535,0.0288826
17,0,0,0,0,0.0400677,0.0630193,0,0,0,0.0546135,0,0.0213647,0.0595262,0,0,0.0163739,0,0,0.0417829,0.0510573,0.0218828,0.0403694,0.0235553,0.0739911,0.0420905,0.0449435,0.065059,0.0525097,0.0185413,0.0542908,0.0590091,0.0319706,0.0326401,0.0247541,0.046356,0.0152949,0.0169098,0.0173681,0,0,0.0418254,0.0334581,0,0,0.0231,0,0,0.0266551,0.0816576,0.0283202,0.0150301,0.0285131,0.0628717,0.0320277,0.0383537,0.0672173,0.0295728,0.0243906,0,0.0426836,0.0339081,0.0071322,0.0218774,0.0521211,0.056396,0,0,0,0.0628015,0,0.0111633,0.0292396
18,0,0,0,0,0.0401832,0.0629181,0,0,0,0.0546434,0,0.0215665,0.0599858,0,0,0.0163655,0,0,0.0419408,0.0512539,0.0219194,0.0397613,0.0237974,0.0730625,0.042069,0.0451855,0.0646061,0.0525938,0.0186822,0.0541258,0.0587851,0.0318865,0.0322408,0.0248286,0.0464451,0.0152647,0.017045,0.017153,0,0,0.0420461,0.0331209,0,0,0.0229085,0,0,0.0265254,0.0817333,0.0285727,0.0157449,0.0291543,0.0634562,0.0314832,0.0381936,0.0672409,0.0289762,0.0241087,0,0.0438774,0.0340356,0.00708207,0.0218153,0.0521373,0.0563431,0,0,0,0.0624211,0,0.0111891,0.0293677
19,0,0,0,0,0.0402722,0.0628451,0,0,0,0.0547154,0,0.0218127,0.06067,0,0,0.01642,0,0,0.0419635,0.0513509,0.0220324,0.0390175,0.0240842,0.0725862,0.042046,0.0443136,0.0644584,0.0526572,0.0192115,0.0538647,0.0585621,0.0317172,0.0318544,0.0249724,0.0465137,0.0152535,0.0170832,0.0172564,0,0,0.0422338,0.0328349,0,0,0.022742,0,0,0.0263793,0.081775,0.0297224,0.0164068,0.0297654,0.0640937,0.0309489,0.0383758,0.0674896,0.028504,0.0243767,0,0.0427462,0.0341487,0.0069555,0.0217088,0.052116,0.0562409,0,0,0,0.0621866,0,0,0.0297519
20,0,0,0,0,0.0403062,0.0627602,0,0,0,0.0547718,0,0.0220126,0.0613776,0,0,0.016523,0,0,0.0418325,0.0515194,0.022138,0.038105,0.0243485,0.0724946,0.0420186,0.0434957,0.0640859,0.0527691,0.0190414,0.0536353,0.0583068,0.0315918,0.0316931,0.0250958,0.046534,0.0152499,0.0170161,0.0198025,0,0.0269346,0.0425044,0.0326328,0,0,0.0226421,0,0,0.026301,0.0816928,0.0278902,0.016963,0.0308079,0.0646665,0.0305328,0.0382869,0.0674446,0.0285475,0.0237606,0,0.0499464,0.0342427,0.0069492,0.0215642,0.0521623,0.056073,0,0,0,0.0618183,0,0.00926636,0.0287964
21,0,0,0,0,0.0403521,0.0626778,0,0,0,0.0547732,0,0.0221921,0.062017,0,0,0.016639,0,0,0.0416054,0.0518204,0.0222451,0.0371918,0.0245797,0.0727109,0.0420595,0.0429459,0.0636181,0.052877,0.0186816,0.0534183,0.0579545,0.0315655,0.0316866,0.0252118,0.0464475,0.015238,0.0168956,0.0199842,0,0.02775,0.0428045,0.0325081,0,0,0.0226764,0,0,0.026257,0.0817853,0.0283875,0.0174731,0.0314392,0.0651248,0.0302836,0.0383188,0.0674852,0.0282744,0.0242988,0,0.0508433,0.0342934,0.00700423,0.0214046,0.0522475,0.055931,0,0,0,0.061487,0,0.00895138,0.0293715
22,0,0,0,0,0.0403638,0.0626338,0,0,0,0.0547856,0,0.0223618,0.0627456,0,0,0.0167749,0,0,0.0413694,0.052088,0.0223879,0.0363304,0.0248152,0.0729611,0.0420741,0.0426049,0.0631206,0.0529321,0.0186199,0.0532069,0.0576175,0.0315118,0.0315082,0.0253667,0.0463613,0.015238,0.0167625,0.0198246,0,0.028072,0.0430923,0.0324719,0,0,0.022725,0,0,0.0262365,0.0817826,0.0288723,0.0180843,0.03183,0.0655473,0.0301858,0.0386346,0.0679565,0.0275629,0.0247793,0,0.0498518,0.034344,0.00699716,0.0212946,0.052293,0.0558011,0,0,0,0.0613767,0,0,0.0298513
23,0,0,0,0,0.0403532,0.0626309,0,0,0,0.0546885,0,0.0225371,0.0633606,0,0,0.0169201,0,0,0.0411045,0.052363,0.0226371,0.0355416,0.0251189,0.0729972,0.0420518,0.0422658,0.0627634,0.052924,0.0190215,0.0530101,0.0573519,0.0313462,0.0312687,0.0255305,0.0462635,0.0152421,0.0165514,0.0196182,0,0.0279065,0.0433967,0.0324902,0,0,0.0227255,0,0,0.0261963,0.0819281,0.0289101,0.0185445,0.0320892,0.0658858,0.0300883,0.0389525,0.06802,0.0273488,0.0254343,0,0.0507093,0.0344158,0.00695235,0.0211868,0.0523901,0.0557037,0,0,0,0.0610431,0,0,0.0304889
24,0,0,0,0,0.0402999,0.0626701,0,0,0,0.0546476,0,0.0226338,0.0638247,0,0,0.0170496,0,0,0.0408364,0.0526158,0.0228374,0.0348359,0.0252917,0.0726494,0.0419483,0.0419662,0.0622706,0.0529333,0.0191351,0.0529564,0.0572899,0.0311855,0.0310097,0.0256756,0.0461497,0.0152233,0.0163349,0.0196848,0,0.0270741,0.043683,0.0325355,0,0,0.0226624,0,0,0.0261533,0.0821093,0.0289519,0.0188304,0.0323633,0.0660624,0.0299797,0.0391279,0.0678272,0.027638,0.0260359,0,0.0533167,0.0345222,0.00692487,0.0210459,0.052458,0.0555575,0,0,0,0.0606173,0,0.00883237,0.0309686
25,0,0,0,0,0.0402423,0.062733,0,0,0,0.0545844,0,0.0227629,0.0641829,0,0,0.0171557,0,0,0.0406057,0.0530019,0.0230068,0.034152,0.0254262,0.0719762,0.0417973,0.0416397,0.0617857,0.0529725,0.0192779,0.0528011,0.0571097,0.0310589,0.0307596,0.0258042,0.0460125,0.015187,0.0161415,0.0154901,0,0,0.0440022,0.0325701,0,0,0.0225953,0,0,0.0261002,0.0823522,0.0299525,0.0191289,0.0318074,0.0661192,0.0298679,0.039826,0.0677667,0.0279047,0.0280707,0,0.0514569,0.0346485,0.0069025,0.020901,0.0524514,0.0552425,0,0,0,0.0601952,0,0.0112291,0.0337585
26,0,0,0,0,0.0401515,0.062838,0,0,0,0.0544264,0,0.0229315,0.0645929,0,0,0.0172798,0,0,0.0404357,0.0533093,0.0231875,0.033643,0.0255326,0.0711649,0.0416463,0.0412717,0.0614169,0.0529866,0.019276,0.0525634,0.0566871,0.0309405,0.0305682,0.0256139,0.0458319,0.0151611,0.015868,0.015447,0,0,0.0440839,0.0326512,0,0,0.0225462,0,0,0.0260825,0.0823301,0.0302342,0.0195008,0.031761,0.0661684,0.0298355,0.0403982,0.0681098,0.0281688,0.0283977,0,0.052258,0.0347524,0.00685473,0.020826,0.0524168,0.0550264,0,0,0,0.0599551,0,0.0114128,0.0341612
27,0,0,0,0,0.0400548,0.0629548,0,0,0,0.0541422,0,0.0231804,0.0649547,0,0,0.0173619,0,0,0.0402985,0.0536613,0.0233985,0.0332221,0.0256281,0.0703596,0.0415015,0.040941,0.0611862,0.0529925,0.0195398,0.0522758,0.0563008,0.0308076,0.0304234,0.0252176,0.0456676,0.0151285,0.0156355,0.0154096,0,0,0.0442197,0.0327479,0,0,0.0224836,0,0,0.0260593,0.0822119,0.0304687,0.0197454,0.0316323,0.0661705,0.0298032,0.0407798,0.0684226,0.0284828,0.0286122,0,0.0526043,0.0348593,0.00683581,0.0207394,0.0523975,0.0549062,0,0,0,0.059721,0,0.0114793,0.0346705
28,0,0,0,0,0.0399134,0.0629789,0,0,0,0.05363,0,0.0234438,0.0652355,0,0,0.0173852,0,0,0.0401754,0.054071,0.0235541,0.0328669,0.0256616,0.0696055,0.0413485,0.040596,0.0610903,0.0530012,0.0195678,0.0519931,0.0560807,0.0306173,0.0303058,0.0246092,0.0455108,0.0150812,0.0154634,0.0153301,0,0,0.0444161,0.0328261,0,0,0.0224319,0,0,0.0260188,0.082017,0.0308895,0.0198903,0.0315317,0.066125,0.029826,0.040994,0.0686509,0.0288476,0.0286538,0,0.0522618,0.0349322,0.00678063,0.0206683,0.0523687,0.0546479,0,0,0,0.0595255,0,0.011796,0.0351293
29,0,0,0,0,0.0398035,0.0628915,0,0,0,0.0530935,0,0.0237039,0.0653632,0,0,0.0173978,0,0,0.040109,0.0545142,0.0234417,0.0325865,0.0255894,0.0689596,0.0411646,0.0401709,0.0608704,0.052996,0.0196688,0.0518207,0.0558622,0.0303735,0.0301627,0.0238488,0.0453717,0.0150235,0.0153427,0.0153016,0,0,0.0446719,0.0328732,0,0,0.0223811,0,0,0.0259278,0.0818529,0.0309415,0.0199405,0.031324,0.0661093,0.0298688,0.0411613,0.0688642,0.0292713,0.0286235,0,0.051223,0.0349596,0.00667166,0.0205942,0.0523434,0.0543086,0,0,0,0.0593283,0,0.0118202,0.035384
30,0,0,0,0,0.0397406,0.0626637,0,0,0,0.0521766,0,0.0239015,0.0656226,0,0,0.0173503,0,0,0.0401142,0.0550055,0.023133,0.0326645,0.0255475,0.0688941,0.041248,0.0395286,0.0605303,0.0530019,0.0194331,0.0515542,0.0555054,0.0301107,0.0299425,0.023024,0.045085,0.0149195,0.015368,0.0198829,0,0.0269528,0.0448136,0.0328776,0,0,0.0224717,0,0,0.0259231,0.0809387,0.0278204,0.020371,0.0334719,0.0661669,0.0300582,0.0415153,0.0725693,0.0284891,0.0258504,0,0.0444325,0.0348178,0.00664,0.0206416,0.0521027,0.0546187,0,0,0,0.0604025,0,0.010557,0.0323037
31,0,0,0,0,0.0396646,0.0626511,0,0,0,0.0513719,0,0.0242097,0.0651685,0,0,0.0175595,0,0,0.0400512,0.0557708,0.0228079,0.0320199,0.0253874,0.0680888,0.0406482,0.039427,0.0605298,0.053048,0.0194248,0.0513933,0.0552841,0.0298752,0.0299048,0.0221514,0.0451895,0.0149764,0.0150594,0.0189947,0,0.0287365,0.0454207,0.0329189,0,0,0.0222097,0,0,0.0257179,0.0810033,0.0279813,0.019862,0.0304602,0.0659091,0.0296094,0.0416306,0.0700074,0.0306819,0.0274672,0,0.0488229,0.0351921,0.00657453,0.0202662,0.0522869,0.0537955,0,0,0,0.0595056,0,0.00994779,0.0341503
32,0,0,0,0,0.0395969,0.0625381,0,0,0,0.0501519,0,0.0245469,0.064935,0,0,0.0174632,0,0,0.040128,0.0563522,0.022408,0.0319307,0.0253481,0.0679023,0.0405238,0.039035,0.060356,0.0530673,0.0193908,0.0512716,0.0550145,0.029668,0.0297401,0.020807,0.0451025,0.0149217,0.0151014,0.0192542,0,0.0289304,0.0457959,0.0329445,0,0,0.0221877,0,0,0.0256401,0.0808274,0.026701,0.0196859,0.0303167,0.0655931,0.0295821,0.0412643,0.0698544,0.0311116,0.0274238,0,0.0453591,0.0352186,0.00655045,0.0202147,0.0521543,0.0538052,0,0,0,0.059448,0,0.0100068,0.034424
33,0,0,0,0,0.0395537,0.0624872,0,0,0,0.0489954,0,0.0248387,0.0646113,0,0,0.017475,0,0,0.0402236,0.0566844,0.0219959,0.0318929,0.0253986,0.0677738,0.0404925,0.0386999,0.0603314,0.0530407,0.019322,0.0512593,0.0548718,0.0296138,0.0296525,0.0195441,0.0450672,0.0148916,0.0151175,0.0198282,0,0.0292005,0.0462344,0.0329511,0,0,0.0221256,0,0,0.0255279,0.0803776,0.0249334,0.0193612,0.0298287,0.0652829,0.0294085,0.0410542,0.0697685,0.0316282,0.0277167,0,0.0411763,0.0353569,0.00651654,0.020023,0.0520872,0.0538485,0,0,0,0.0596402,0,0.0104345,0.0348605
34,0,0,0,0,0.0395477,0.0624863,0,0,0,0.0483775,0,0.0249572,0.0643049,0,0,0.0175202,0,0,0.0403022,0.0568737,0.021474,0.0320619,0.0254817,0.0677164,0.0405847,0.0384108,0.0602444,0.0529461,0.0190996,0.0513244,0.0548881,0.0297059,0.0296671,0.01857,0.0450579,0.0149061,0.0151053,0.0211653,0,0.029284,0.0464224,0.0329415,0,0,0.0220417,0,0,0.0254053,0.0799704,0.0230844,0.0188204,0.0293452,0.0649505,0.0291578,0.0406497,0.0695243,0.0320983,0.0280326,0,0.0366137,0.0355327,0.00647772,0.0197543,0.0520295,0.0538054,0,0,0,0.0598662,0,0.0107801,0.0353287
35,0,0,0,0,0.0395373,0.0625442,0,0,0,0.0479726,0,0.0251243,0.0639679,0,0,0.0175262,0,0,0.0403636,0.0572466,0.0210738,0.0321043,0.0257055,0.0676161,0.0405894,0.0380825,0.0598551,0.0528156,0.018897,0.0513904,0.0549527,0.0298532,0.0296711,0.0178526,0.0450987,0.0149342,0.0150923,0.0228581,0,0.0296736,0.0466448,0.0329403,0,0,0.0219004,0,0,0.0253011,0.0794987,0.0213009,0.0182031,0.0284396,0.0646257,0.0288578,0.0400556,0.0691547,0.0327878,0.0283503,0,0.032035,0.0357668,0.00645213,0.0194865,0.0520749,0.0538115,0,0,0,0.0600501,0,0.0113527,0.035956
36,0,0,0,0,0.039571,0.062634,0,0,0,0.0476182,0,0.025342,0.0636128,0,0,0.0174593,0,0,0.0404531,0.0576778,0.020837,0.0320904,0.0259943,0.0674682,0.0405744,0.0377494,0.059443,0.0526231,0.018745,0.0514503,0.0550245,0.0300016,0.029695,0.017408,0.0451945,0.0148423,0.0152668,0.0250731,0,0.0299922,0.0467578,0.0329132,0,0,0.0216581,0,0,0.0251964,0.0790673,0.019755,0.0173882,0.0278874,0.064333,0.028512,0.0393212,0.0686165,0.0337978,0.0288001,0,0.0272323,0.0361174,0.00641041,0.0191586,0.0521403,0.0539139,0,0,0,0.0602987,0,0.0121687,0.0365628
37,0,0,0,0,0.0395968,0.0627806,0,0,0,0.0480043,0,0.0250439,0.063268,0,0,0.0175265,0,0,0.0404681,0.0580593,0.0212853,0.0320518,0.0262599,0.067182,0.0406297,0.0373301,0.0590761,0.052358,0.0186995,0.0514691,0.055229,0.0300173,0.0293628,0.017429,0.0452871,0.0149093,0.015183,0.0275264,0,0.030833,0.0467711,0.0328564,0,0,0.0214526,0,0,0.0249706,0.0786802,0.018285,0.0165071,0.0285146,0.0639555,0.0280509,0.0387167,0.0679447,0.0348656,0.0294291,0,0.0224403,0.0365852,0.00631828,0.0186306,0.0522478,0.0540051,0,0,0,0.0605898,0,0.0133375,0.037123
38,0,0,0,0,0.0396725,0.0629059,0,0,0,0.0499433,0,0.0239165,0.0629405,0,0,0.0175499,0,0,0.0404851,0.0583723,0.0230332,0.0319639,0.0264107,0.0666832,0.0406971,0.0368529,0.0585667,0.052068,0.0189106,0.0513465,0.0556012,0.0297999,0.0283565,0.0183658,0.0454335,0.0149306,0.0151663,0.0298121,0,0.0315382,0.0468471,0.0327826,0,0,0.0211297,0,0,0.0247896,0.0783789,0.017239,0.0155577,0.0287538,0.0634922,0.0274657,0.0380881,0.0670274,0.0357835,0.0301589,0,0.0183068,0.0370862,0.00627873,0.0180747,0.0523743,0.0541781,0,0,0,0.0609791,0,0.0145408,0.0379054
